ジャンル名,実売上xジャンル別係数
食品>調味料>スパイス>オニオン,1146000
食品>魚介類・水産加工品>貝類>ホヤ,863000
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,625000
食品>調味料>ラード,2113000
食品>卵>うずら卵,1022000
食品>魚介類・水産加工品>魚卵>イクラ・筋子>生イクラ,181000
食品>魚介類・水産加工品>その他水産物>カンパチ,430000
食品>調味料>韓国調味料>コチュジャン,748000
食品>調味料>砂糖・甘味料>ガムシロップ,1430000
食品>惣菜>和風惣菜>赤飯,995000
食品>調味料>スパイス>カルダモン,887000
食品>卵>その他,781000
食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,1200000
食品>調味料>ラーメンスープ,2809000
食品>惣菜>韓国惣菜>トッポギ,1131000
食品>魚介類・水産加工品>その他水産物>サメ,930000
食品>調味料>ソース・たれ>デミグラスソース,682000
食品>豆腐・納豆・こんにゃく>豆腐>ごま豆腐,940000
食品>調味料>ソース・たれ>ウスターソース,842000
食品>調味料>わさび,2611000
食品>調味料>麹,22901000
食品>魚介類・水産加工品>その他水産物>クラゲ,2208000
食品>フルーツ・果物>マンゴスチン,782000
食品>調味料>酒粕,3982000
食品>惣菜>洋風惣菜>サラダ,1012000
食品>調味料>生わさび,1172000
食品>粉類>コーンスターチ,837000
食品>惣菜>洋風惣菜>ハヤシライス,1290000
食品>魚介類・水産加工品>その他水産物>ニシン,636000
食品>調味料>料理の素>麻婆豆腐の素,1114000
食品>調味料>油>マスタードオイル,0
食品>調味料>ドレッシング>フレンチドレッシング,779000
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1258000
食品>豆腐・納豆・こんにゃく>納豆>ワラ納豆,884000
食品>魚介類・水産加工品>海藻類>ひじき,3035000
食品>調味料>スパイス>ターメリック,1133000
食品>漬物・梅干し・キムチ>オリーブ,647000
食品>魚介類・水産加工品>魚卵>数の子>塩数の子,688000
食品>野菜・きのこ>きのこ>まいたけ,1042000
食品>調味料>みそ>豆みそ,795000
食品>精肉・肉加工品>牛肉>ミノ,1306000
食品>調味料>みりん>発酵調味料,1054000
食品>調味料>ソース・たれ>焼きそばソース,699000
食品>チーズ・乳製品>チーズ>セミハード>チェダー,1001000
食品>魚介類・水産加工品>貝類>とこぶし,96000
食品>漬物・梅干し・キムチ>キムチ,27787000
食品>調味料>ポン酢>すだち,626000
食品>フルーツ・果物>ドリアン,601000
食品>調味料>からし・マスタード>その他,798000
食品>調味料>みりん>みりん風調味料,1628000
食品>漬物・梅干し・キムチ>その他,2094000
食品>漬物・梅干し・キムチ>ピクルス,803000
食品>魚介類・水産加工品>加工品>新巻,376000
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,692000
食品>精肉・肉加工品>加工品>ソーセージ>ボロニアソーセージ,1029000
食品>惣菜>アジアン・エスニック惣菜>その他,601000
食品>調味料>スパイス>クローブ,1252000
食品>精肉・肉加工品>牛肉>テール,818000
食品>魚介類・水産加工品>海藻類>セット・詰め合わせ,762000
食品>調味料>砂糖・甘味料>ざら糖,861000
食品>魚介類・水産加工品>その他水産物>エイ,683000
食品>野菜・きのこ>きのこ>えのき,825000
食品>漬物・梅干し・キムチ>メンマ・ザーサイ,4248000
食品>精肉・肉加工品>馬肉>タン,17000
食品>漬物・梅干し・キムチ>漬物>しば漬け,885000
食品>粉類>天ぷら粉,869000
食品>魚介類・水産加工品>貝類>平貝・タイラギ,441000
食品>魚介類・水産加工品>加工品>カニミソ,578000
食品>魚介類・水産加工品>その他水産物>ヤマメ,5000
食品>漬物・梅干し・キムチ>梅干し>梅干しにんにく,1080000
食品>野菜・きのこ>その他野菜>れんこん,809000
食品>魚介類・水産加工品>その他水産物>マス,334000
食品>野菜・きのこ>その他野菜>行者にんにく,753000
食品>野菜・きのこ>きのこ>まつたけ,368000
食品>惣菜>和風惣菜>丼>カツ丼,563000
食品>惣菜>中華惣菜・点心>春巻き,1270000
食品>野菜・きのこ>ほうれん草,1258000
食品>調味料>油>ひまわり油,340000
食品>調味料>油>大豆油,1293000
食品>調味料>油>椿油,353000
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,560000
食品>惣菜>おせちセット>洋風おせちセット,407000
食品>精肉・肉加工品>鶏肉>砂肝・筋胃,871000
食品>漬物・梅干し・キムチ>水キムチ,108000
食品>麺類>パスタ>ロングパスタ>フェデレリーニ,824000
食品>瓶詰>セット・詰め合わせ,20116000
食品>チーズ・乳製品>チーズ>フレッシュ>その他,784000
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,787000
食品>卵>セット・詰め合わせ,419000
食品>卵>燻製卵・くんたま,488000
食品>野菜・きのこ>大根,759000
食品>麺類>パスタ>ショートパスタ>マカロニ,1277000
食品>調味料>ふりかけ>のりたま,876000
食品>パン・ジャム・シリアル>パン>菓子パン>チョコレートパン,1995000
食品>麺類>パスタ>ショートパスタ>その他,1050000
食品>魚介類・水産加工品>その他水産物>ハモ,425000
食品>精肉・肉加工品>加工品>ソーセージ>チョリソー,461000
食品>調味料>料理酒>清酒・合成清酒,644000
食品>魚介類・水産加工品>魚卵>明太子>イカ明太,924000
食品>調味料>中華調味料>豆板醤・トウバンジャン,668000
食品>惣菜>中華惣菜・点心>饅頭,852000
食品>野菜・きのこ>キャベツ,894000
食品>米・雑穀>雑穀・雑穀米>キヌア,839000
食品>精肉・肉加工品>羊肉>マトン,503000
食品>練り物>ちくわ,657000
食品>惣菜>鍋セット>石狩鍋,45000
食品>魚介類・水産加工品>その他水産物>トビウオ,438000
食品>野菜・きのこ>きのこ>ポルチーニ,392000
食品>野菜・きのこ>ナス,798000
食品>惣菜>鍋セット>きりたんぽ鍋,336000
食品>漬物・梅干し・キムチ>漬物>わさび漬け,707000
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,520000
食品>調味料>油>べに花油,424000
食品>惣菜>和風惣菜>茶碗蒸し,490000
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,172000
食品>惣菜>鍋セット>ちゃんこ鍋,124000
食品>魚介類・水産加工品>貝類>鳥貝・トリガイ,264000
食品>漬物・梅干し・キムチ>漬物>こうじ漬け,468000
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,336000
食品>粉類>セット・詰め合わせ,678000
食品>精肉・肉加工品>牛肉>スネ,900000
食品>調味料>アジアン・エスニック調味料>スイートチリソース,616000
食品>精肉・肉加工品>加工品>ハム>ボンレスハム,747000
食品>魚介類・水産加工品>その他水産物>ハタハタ,181000
食品>粉類>パン粉,1018000
食品>魚介類・水産加工品>その他水産物>カワハギ,526000
食品>調味料>砂糖・甘味料>角砂糖,626000
食品>精肉・肉加工品>鶏肉>レバー,1023000
食品>瓶詰>フルーツ・果物,4350000
食品>惣菜>洋風惣菜>パエリア,282000
食品>惣菜>アジアン・エスニック惣菜>セット・詰め合わせ,747000
食品>漬物・梅干し・キムチ>梅干し>焼梅干し,106000
食品>惣菜>中華惣菜・点心>エビチリ,714000
食品>調味料>油>トリュフオイル,330000
食品>瓶詰>水産物加工品,6581000
食品>惣菜>韓国惣菜>チヂミ,742000
食品>漬物・梅干し・キムチ>梅干し>きざみ梅,928000
食品>粉類>から揚げ粉,569000
食品>瓶詰>惣菜,3353000
食品>調味料>ソース・たれ>ステーキソース,407000
食品>豆腐・納豆・こんにゃく>納豆>極小粒納豆,807000
食品>フルーツ・果物>じゃばら,435000
食品>惣菜>洋風惣菜>ドリア,884000
食品>フルーツ・果物>イチジク,394000
食品>チーズ・乳製品>チーズ>白カビ>ブリー,780000
食品>調味料>ふりかけ>ちりめんじゃこ,699000
食品>惣菜>中華惣菜・点心>麻婆豆腐,799000
食品>魚介類・水産加工品>その他水産物>アカメ・メヒカリ,482000
食品>野菜・きのこ>その他野菜>カリフラワー,701000
食品>米・雑穀>雑穀・雑穀米>アマランサス,602000
食品>練り物>しんじょ,294000
食品>調味料>油>アボカドオイル,278000
食品>調味料>しょうゆ>白しょうゆ,317000
食品>魚介類・水産加工品>魚卵>数の子>その他,329000
食品>フルーツ・果物>ドラゴンフルーツ,475000
食品>瓶詰>肉加工品,1120000
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,240000
食品>調味料>ミックススパイス・混合調味料>ガラム・マサラ,484000
食品>調味料>スパイス>ナツメグ,150000
食品>魚介類・水産加工品>加工品>あん肝,1151000
食品>調味料>砂糖・甘味料>和三盆,428000
食品>魚介類・水産加工品>その他水産物>アイナメ,15000
食品>魚介類・水産加工品>貝類>赤貝,305000
食品>惣菜>洋風惣菜>リゾット,674000
食品>惣菜>中華惣菜・点心>あんまん,640000
食品>野菜・きのこ>里芋,398000
食品>フルーツ・果物>すだち,1257000
食品>魚介類・水産加工品>魚卵>イクラ・筋子>その他,85000
食品>パン・ジャム・シリアル>パン>菓子パン>メロンパン,326000
食品>精肉・肉加工品>豚肉>タン,456000
食品>瓶詰>野菜・きのこ,3510000
食品>魚介類・水産加工品>貝類>ほっき貝,306000
食品>米・雑穀>雑穀・雑穀米>あわ,606000
食品>卵>烏骨鶏卵,299000
食品>精肉・肉加工品>馬肉>タテガミ,296000
食品>精肉・肉加工品>豚肉>ヒレ,909000
食品>調味料>スパイス>サフラン,184000
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,298000
食品>精肉・肉加工品>挽肉>牛肉,357000
食品>惣菜>洋風惣菜>ハンバーガー,237000
食品>調味料>スパイス>ホワイトペッパー,362000
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,217000
食品>麺類>パスタ>ロングパスタ>フェットチーネ,580000
食品>精肉・肉加工品>豚肉>ミミ,415000
食品>調味料>酢>白ワインビネガー,360000
食品>精肉・肉加工品>挽肉>合挽き,438000
食品>精肉・肉加工品>馬肉>ハツ,174000
食品>野菜・きのこ>キュウリ,500000
食品>魚介類・水産加工品>魚卵>たらこ>その他,240000
食品>惣菜>洋風惣菜>とんかつ>ヒレ,348000
食品>麺類>うどん,59049000
食品>調味料>油>玄米油,189000
食品>パン・ジャム・シリアル>パン>ナン,345000
食品>惣菜>鍋セット>キムチ鍋,365000
食品>麺類>セット・詰め合わせ,14456000
食品>魚介類・水産加工品>貝類>エスカルゴ,211000
食品>野菜・きのこ>きのこ>なめこ,278000
食品>精肉・肉加工品>牛肉>ハツ,278000
食品>調味料>ハーブ>バジル,303000
食品>魚介類・水産加工品>貝類>ばい貝,192000
食品>麺類>パスタ>ロングパスタ>リングイネ,2460000
食品>魚介類・水産加工品>その他水産物>アンコウ,161000
食品>魚介類・水産加工品>その他水産物>サワラ,769000
食品>惣菜>中華惣菜・点心>北京ダック,205000
食品>麺類>そうめん,59621000
食品>魚介類・水産加工品>その他水産物>コイ,150000
食品>フルーツ・果物>かぼす,72000
食品>魚介類・水産加工品>その他水産物>カジキ,158000
食品>調味料>料理の素>寿司の素,419000
食品>パン・ジャム・シリアル>パン>菓子パン>ジャムパン,71000
食品>練り物>じゃこ天,429000
食品>豆腐・納豆・こんにゃく>豆腐>豆腐よう,122000
食品>調味料>中華調味料>辣醤・ラァジャン,299000
食品>麺類>その他,9736000
食品>豆腐・納豆・こんにゃく>納豆>黒豆納豆,183000
食品>精肉・肉加工品>加工品>ソーセージ>骨付き,152000
食品>麺類>パスタ>ショートパスタ>フジッリ,259000
食品>パン・ジャム・シリアル>パン>プレッツェル,527000
食品>魚介類・水産加工品>貝類>ミル貝,69000
食品>精肉・肉加工品>牛肉>ハチノス,236000
食品>調味料>ふりかけ>さけ,487000
食品>精肉・肉加工品>馬肉>モツ,45000
食品>惣菜>中華惣菜・点心>酢豚,348000
食品>麺類>そば,60771000
食品>調味料>ドレッシング>中華ドレッシング,303000
食品>麺類>つけ麺,2960000
食品>練り物>はんぺん,281000
食品>麺類>パスタ>ショートパスタ>ペンネ,372000
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,54000
食品>魚介類・水産加工品>マグロ>カマ,233000
食品>魚介類・水産加工品>その他水産物>ヒラメ,469000
食品>調味料>スパイス>コリアンダー,301000
食品>野菜・きのこ>レタス,231000
食品>魚介類・水産加工品>貝類>ムール貝,262000
食品>魚介類・水産加工品>その他水産物>タチウオ,63000
食品>チーズ・乳製品>チーズ>ハード>コンテ,218000
食品>漬物・梅干し・キムチ>漬物>もろみ漬け,163000
食品>調味料>酢>赤ワインビネガー,155000
食品>パン・ジャム・シリアル>パン>フォカッチャ,88000
食品>チーズ・乳製品>チーズ>ハード>チェダー,172000
食品>調味料>砂糖・甘味料>三温糖,211000
食品>麺類>パスタ>クスクス,121000
食品>チーズ・乳製品>チーズ>ハード>エメンタール,105000
食品>麺類>パスタ>ショートパスタ>ファルファーレ,28000
食品>チーズ・乳製品>チーズ>白カビ>その他,158000
食品>調味料>韓国調味料>サムジャン,242000
食品>調味料>ハーブ>パセリ,123000
食品>精肉・肉加工品>牛肉>ギアラ・赤センマイ,201000
食品>米・雑穀>雑穀・雑穀米>赤米,324000
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,3000
食品>チーズ・乳製品>チーズ>セミハード>エダム,232000
食品>野菜・きのこ>その他野菜>オクラ,275000
食品>野菜・きのこ>その他野菜>ヤーコン,14000
食品>惣菜>和風惣菜>卵焼き,308000
食品>野菜・きのこ>ニラ,138000
食品>豆腐・納豆・こんにゃく>豆腐>寄せ豆腐,189000
食品>調味料>スパイス>パプリカ,215000
食品>精肉・肉加工品>鶏肉>ハツ,246000
食品>調味料>料理の素>チャーハンの素,215000
食品>精肉・肉加工品>挽肉>豚肉,349000
食品>フルーツ・果物>洋梨,50000
食品>魚介類・水産加工品>その他水産物>サヨリ,12000
食品>調味料>ポン酢>かぼす,216000
食品>惣菜>中華惣菜・点心>揚げもち,127000
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,104000
食品>精肉・肉加工品>羊肉>その他,416000
食品>野菜・きのこ>その他野菜>ゴーヤー,244000
食品>精肉・肉加工品>挽肉>鶏肉,291000
食品>麺類>パスタ>その他,8363000
食品>調味料>スパイス>スターアニス,218000
食品>野菜・きのこ>きのこ>エリンギ,91000
食品>野菜・きのこ>その他野菜>エシャロット,43000
食品>魚介類・水産加工品>フグ>白子,102000
食品>野菜・きのこ>その他野菜>明日葉,527000
食品>調味料>ハーブ>レモングラス,114000
食品>野菜・きのこ>その他野菜>小松菜,376000
食品>精肉・肉加工品>豚肉>レバー,224000
食品>麺類>パスタ>ニョッキ,85000
食品>魚介類・水産加工品>タラ>白子,60000
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,39000
食品>野菜・きのこ>その他野菜>銀杏,16000
食品>卵>ピータン,156000
食品>麺類>パスタ>ラザニア,168000
食品>調味料>中華調味料>甜麺醤・テンメンジャン,251000
食品>惣菜>和風惣菜>もんじゃ焼き,48000
食品>卵>温泉たまご,132000
食品>麺類>ひやむぎ,3412000
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,32000
食品>精肉・肉加工品>豚肉>カシラ,233000
食品>豆腐・納豆・こんにゃく>豆腐>巾着,41000
食品>野菜・きのこ>その他野菜>大葉・しそ,177000
食品>惣菜>洋風惣菜>テリーヌ,108000
食品>調味料>油>ピーナッツオイル,34000
食品>惣菜>和風惣菜>天かす・揚げ玉,191000
食品>調味料>砂糖・甘味料>セット・詰め合わせ,7000
食品>麺類>パスタ>ロングパスタ>ブカティーニ,17000
食品>惣菜>韓国惣菜>ナムル,679000
食品>米・雑穀>雑穀・雑穀米>ひえ,213000
食品>豆腐・納豆・こんにゃく>豆腐>がんもどき,70000
食品>惣菜>韓国惣菜>プルコギ,146000
食品>練り物>伊達巻,90000
食品>豆腐・納豆・こんにゃく>豆腐>木綿豆腐,132000
食品>豆腐・納豆・こんにゃく>納豆>中粒納豆,116000
食品>野菜・きのこ>白菜,177000
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,406000
食品>精肉・肉加工品>豚肉>ガツ,136000
食品>漬物・梅干し・キムチ>漬物>福神漬け,329000
食品>調味料>からし・マスタード>ディジョン,119000
食品>調味料>ドレッシング>梅ドレッシング,94000
食品>野菜・きのこ>その他野菜>セロリ,121000
食品>魚介類・水産加工品>その他水産物>キス,146000
食品>野菜・きのこ>その他野菜>パクチー・コリアンダー,28000
食品>惣菜>中華惣菜・点心>中華ポテト,128000
食品>惣菜>和風惣菜>おひたし,90000
食品>精肉・肉加工品>挽肉>その他,47000
食品>麺類>ラーメン,103140000
食品>麺類>ライスヌードル,7523000
食品>調味料>料理の素>回鍋肉の素,97000
食品>野菜・きのこ>その他野菜>ピーマン,197000
食品>麺類>沖縄そば,3352000
食品>野菜・きのこ>その他野菜>かぶ,34000
食品>魚介類・水産加工品>魚卵>明太子>明太高菜,178000
食品>調味料>ミックススパイス・混合調味料>シナモンシュガー,74000
食品>野菜・きのこ>きのこ>しめじ,167000
食品>調味料>ハーブ>ローズマリー,61000
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,2000
食品>麺類>焼きそば,12223000
食品>調味料>ミックススパイス・混合調味料>ごましお,85000
食品>惣菜>おせちセット>その他,40000
食品>調味料>ハーブ>ローレル,74000
食品>フルーツ・果物>ミラクルフルーツ,67000
食品>調味料>ドレッシング>かぼすドレッシング,39000
食品>調味料>ふりかけ>たらこ,110000
食品>調味料>ハーブ>セージ,25000
食品>練り物>紅白かまぼこ,60000
食品>麺類>長崎ちゃんぽん,33826000
食品>豆腐・納豆・こんにゃく>豆腐>厚揚げ,89000
食品>調味料>ハーブ>オレガノ,93000
食品>麺類>パスタ>ロングパスタ>カッペリーニ,78000
食品>麺類>冷麺,14257000
食品>調味料>ハーブ>ペパーミント,27000
食品>調味料>料理の素>麻婆茄子の素,37000
食品>調味料>料理の素>八宝菜の素,43000
食品>魚介類・水産加工品>その他水産物>オコゼ,17000
食品>魚介類・水産加工品>その他水産物>カマス,21000
食品>調味料>韓国調味料>テンジャン,31000
食品>惣菜>和風惣菜>なます・酢の物,12000
食品>野菜・きのこ>その他野菜>パセリ,84000
食品>魚介類・水産加工品>その他水産物>カサゴ,29000
食品>魚介類・水産加工品>その他水産物>コチ,19000
食品>野菜・きのこ>その他野菜>ルッコラ,13000
食品>魚介類・水産加工品>その他水産物>メバル,18000
食品>パン・ジャム・シリアル>パン>グリッシーニ,55000
食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,54000
食品>精肉・肉加工品>豚肉>コブクロ,77000
食品>魚介類・水産加工品>その他水産物>イサキ,25000
食品>惣菜>中華惣菜・点心>蒸し鶏,44000
食品>惣菜>和風惣菜>卯の花,31000
食品>魚介類・水産加工品>その他水産物>スズキ,48000
食品>調味料>ハーブ>タイム,19000
食品>精肉・肉加工品>豚肉>ハツ,51000
食品>調味料>ハーブ>マジョラム,14000
食品>野菜・きのこ>その他野菜>水菜,21000
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,79000
食品>調味料>ミックススパイス・混合調味料>ブーケガルニ,5000
食品>野菜・きのこ>その他野菜>春菊,8000
