ジャンル名,実売上xジャンル別係数
食品>パン・ジャム・シリアル>パン>食パン,20538000
食品>野菜・きのこ>豆類>小豆,10372000
食品>乾物>鰹節>その他,226000
食品>調味料>油>ココナッツオイル,16160000
食品>野菜・きのこ>らっきょう,9134000
食品>フルーツ・果物>ブドウ,13602000
食品>精肉・肉加工品>鶏肉>その他,27900000
食品>米・雑穀>もち麦,31761000
食品>漬物・梅干し・キムチ>梅干し>しそ梅,14716000
食品>缶詰>セット・詰め合わせ,8129000
食品>惣菜>中華惣菜・点心>餃子>セット・詰め合わせ,35389000
食品>惣菜>和風惣菜>お粥,13263000
食品>魚介類・水産加工品>その他水産物>その他,14510000
食品>野菜・きのこ>豆類>大豆,13568000
食品>惣菜>中華惣菜・点心>その他,14820000
食品>缶詰>フルーツ・果物,7919000
食品>乾物>鰹節>厚削り節,2036000
食品>精肉・肉加工品>馬肉>赤身,17164000
食品>惣菜>鍋セット>もつ鍋,11774000
食品>調味料>油>その他,8800000
食品>乾物>鰹節>仕上節,1272000
食品>米・雑穀>もち米,10957000
食品>野菜・きのこ>山菜,8301000
食品>野菜・きのこ>セット・詰め合わせ,13436000
食品>調味料>みそ>その他,8094000
食品>精肉・肉加工品>牛肉>リブロース,13901000
食品>フルーツ・果物>ブルーベリー,20525000
食品>調味料>酢>その他,9117000
食品>精肉・肉加工品>豚肉>ロース,9483000
食品>精肉・肉加工品>加工品>ソーセージ>ウインナーソーセージ,14106000
食品>精肉・肉加工品>羊肉>ラム,11171000
食品>米・雑穀>雑穀・雑穀米>その他,13560000
食品>乾物>鰹節>薄削り節,3621000
食品>調味料>だし>こんぶだし,16409000
食品>惣菜>和風惣菜>刺身・たたき,9308000
食品>魚介類・水産加工品>マグロ>赤身,9840000
食品>乾物>乾燥ひじき,4614000
食品>パン・ジャム・シリアル>シリアル>オートミール,20279000
食品>精肉・肉加工品>牛肉>ホルモン,9602000
食品>漬物・梅干し・キムチ>梅干し>セット・詰め合わせ,15832000
食品>精肉・肉加工品>豚肉>バラ・カルビ,12604000
食品>乾物>乾燥もずく,196000
食品>豆腐・納豆・こんにゃく>納豆>その他,20733000
食品>精肉・肉加工品>鶏肉>ムネ,11313000
食品>精肉・肉加工品>馬肉>セット・詰め合わせ,11167000
食品>乾物>乾燥わかめ,12869000
食品>フルーツ・果物>パイナップル,6418000
食品>魚介類・水産加工品>海藻類>その他,8549000
食品>調味料>砂糖・甘味料>人工甘味料,9929000
食品>魚介類・水産加工品>魚卵>明太子>真子,7875000
食品>魚介類・水産加工品>加工品>ちりめんじゃこ・しらす干し,11129000
食品>練り物>さつまあげ,9176000
食品>調味料>中華調味料>その他,8519000
食品>乾物>干ししいたけ,5299000
食品>惣菜>和風惣菜>おにぎり,12331000
食品>調味料>油>亜麻仁油,10676000
食品>調味料>ミックススパイス・混合調味料>その他,10032000
食品>惣菜>和風惣菜>唐揚げ,17359000
食品>パン・ジャム・シリアル>パン>その他,8447000
食品>惣菜>中華惣菜・点心>肉まん,11422000
食品>惣菜>和風惣菜>おこわ,20117000
食品>乾物>高野豆腐,1091000
食品>調味料>砂糖・甘味料>黒砂糖,7209000
食品>練り物>かまぼこ,5485000
食品>乾物>煮干,5045000
食品>漬物・梅干し・キムチ>梅干し>白梅干し,10287000
食品>調味料>ドレッシング>その他,7525000
食品>乾物>春雨,3136000
食品>調味料>みそ>米みそ,6797000
食品>乾物>切干大根,3254000
食品>フルーツ・果物>びわ,9715000
食品>漬物・梅干し・キムチ>漬物>ぬか漬け,10291000
食品>魚介類・水産加工品>マグロ>その他,18021000
食品>調味料>しょうゆ>セット・詰め合わせ,5784000
食品>乾物>麩,2016000
食品>魚介類・水産加工品>海藻類>昆布,7967000
食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,6320000
食品>調味料>ソース・たれ>焼肉のたれ,4386000
食品>魚介類・水産加工品>マグロ>トロ,15121000
食品>野菜・きのこ>生姜,8417000
食品>パン・ジャム・シリアル>パン>デニッシュ,10112000
食品>魚介類・水産加工品>アジ,12758000
食品>フルーツ・果物>ライチ,11726000
食品>調味料>料理の素>鍋の素,3718000
食品>調味料>ふりかけ>セット・詰め合わせ,8438000
食品>惣菜>和風惣菜>煮物,9741000
食品>調味料>ドレッシング>セット・詰め合わせ,7268000
食品>精肉・肉加工品>鶏肉>手羽,10490000
食品>パン・ジャム・シリアル>パン>ベーグル,20006000
食品>調味料>油>なたね油・キャノーラ油,8186000
食品>魚介類・水産加工品>イカ,43664000
食品>精肉・肉加工品>牛肉>ハラミ,8638000
食品>缶詰>野菜・きのこ,6014000
食品>野菜・きのこ>豆類>落花生,8552000
食品>フルーツ・果物>オレンジ,7011000
食品>野菜・きのこ>豆類>その他,6121000
食品>魚介類・水産加工品>イワシ,5978000
食品>惣菜>鍋セット>その他,4541000
食品>米・雑穀>ジャスミンライス,10665000
食品>野菜・きのこ>その他,7578000
食品>惣菜>和風惣菜>丼>その他,8177000
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,4814000
食品>粉類>米粉,11078000
食品>調味料>料理の素>その他,7332000
食品>調味料>ポン酢>その他,7917000
食品>パン・ジャム・シリアル>シリアル>その他,8952000
食品>魚介類・水産加工品>ウニ,23965000
食品>魚介類・水産加工品>エビ,68179000
食品>惣菜>韓国惣菜>その他,5753000
食品>調味料>だし>ブイヨン・コンソメ,8880000
食品>調味料>料理の素>炊き込みご飯の素,6727000
食品>惣菜>和風惣菜>お吸い物,8997000
食品>魚介類・水産加工品>海藻類>わかめ,9384000
食品>調味料>みそ>セット・詰め合わせ,5786000
食品>魚介類・水産加工品>カツオ,13614000
食品>魚介類・水産加工品>カニ,59577000
食品>魚介類・水産加工品>貝類>シジミ,3545000
食品>練り物>セット・詰め合わせ,6994000
食品>調味料>スパイス>山椒・花椒,5527000
食品>豆腐・納豆・こんにゃく>こんにゃく・しらたき,7618000
食品>魚介類・水産加工品>サケ,135445000
食品>漬物・梅干し・キムチ>漬物>その他,5057000
食品>魚介類・水産加工品>サバ,230572000
食品>惣菜>洋風惣菜>シチュー,5817000
食品>漬物・梅干し・キムチ>漬物>しょうゆ漬け,5126000
食品>野菜・きのこ>その他野菜>その他,4656000
食品>魚介類・水産加工品>サンマ,1823000
食品>惣菜>和風惣菜>雑炊,11505000
食品>魚介類・水産加工品>シシャモ,1222000
食品>惣菜>中華惣菜・点心>餃子>その他,8208000
食品>惣菜>和風惣菜>お好み焼き,6168000
食品>缶詰>惣菜,3885000
食品>魚介類・水産加工品>加工品>塩辛,3248000
食品>惣菜>洋風惣菜>コロッケ,5872000
食品>魚介類・水産加工品>魚卵>明太子>その他,14952000
食品>魚介類・水産加工品>セット・詰め合わせ,124018000
食品>魚介類・水産加工品>その他,19777000
食品>調味料>酢>米酢,4784000
食品>精肉・肉加工品>牛肉>ランプ,4215000
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,6757000
食品>魚介類・水産加工品>タイ,5507000
食品>調味料>油>えごま油,5119000
食品>惣菜>和風惣菜>焼き鳥・つくね,5511000
食品>惣菜>中華惣菜・点心>シュウマイ,5669000
食品>調味料>みそ>合わせみそ,4179000
食品>調味料>ドレッシング>和風ドレッシング,3838000
食品>調味料>酢>バルサミコ,3955000
食品>魚介類・水産加工品>タコ,4496000
食品>パン・ジャム・シリアル>パン>クロワッサン,8818000
食品>魚介類・水産加工品>その他水産物>ナマコ,2173000
食品>フルーツ・果物>柿,13474000
食品>豆腐・納豆・こんにゃく>豆腐>その他,4954000
食品>野菜・きのこ>にんじん,6873000
食品>魚介類・水産加工品>ブリ,4549000
食品>精肉・肉加工品>鶏肉>ささみ,4997000
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,5192000
食品>魚介類・水産加工品>ホッケ,15277000
食品>野菜・きのこ>きのこ>その他,4476000
食品>パン・ジャム・シリアル>パン>菓子パン>その他,4188000
食品>魚介類・水産加工品>魚卵>からすみ,1551000
食品>漬物・梅干し・キムチ>漬物>松前漬け,3719000
食品>魚介類・水産加工品>魚卵>キャビア,1566000
食品>米・雑穀>雑穀・雑穀米>黒米,8065000
食品>魚介類・水産加工品>海藻類>めかぶ,3445000
食品>野菜・きのこ>カット野菜,7014000
食品>漬物・梅干し・キムチ>漬物>たくあん漬け,3961000
食品>惣菜>和風惣菜>焼豚,6501000
食品>魚介類・水産加工品>貝類>アワビ,2292000
食品>魚介類・水産加工品>魚卵>その他,174000
食品>調味料>ポン酢>ゆず,3121000
食品>調味料>スパイス>ブラックペッパー,4860000
食品>魚介類・水産加工品>魚卵>数の子明太,51000
食品>練り物>笹かまぼこ,3060000
食品>調味料>油>セット・詰め合わせ,3158000
食品>魚介類・水産加工品>海藻類>もずく,2700000
食品>麺類>パスタ>ロングパスタ>スパゲッティーニ,7103000
食品>魚介類・水産加工品>魚卵>イクラ・筋子>筋子,2622000
食品>惣菜>和風惣菜>焼き魚,8189000
食品>パン・ジャム・シリアル>パン>惣菜パン,10044000
食品>調味料>みそ>麦みそ,3458000
食品>調味料>韓国調味料>その他,3392000
食品>調味料>中華調味料>辣油・ラー油,4036000
食品>惣菜>和風惣菜>白焼き,2342000
食品>魚介類・水産加工品>生ちりめん・生しらす,2206000
食品>漬物・梅干し・キムチ>漬物>塩漬け,5061000
食品>精肉・肉加工品>その他肉類,2568000
食品>フルーツ・果物>和梨,5888000
食品>精肉・肉加工品>ダチョウ肉,216000
食品>調味料>砂糖・甘味料>グラニュー糖,4239000
食品>調味料>油>サラダ油,3274000
食品>フルーツ・果物>キウイフルーツ,6435000
食品>魚介類・水産加工品>タラ>切り身・丸ごと,3972000
食品>野菜・きのこ>豆類>黒豆,5042000
食品>惣菜>和風惣菜>ひつまぶし,3503000
食品>精肉・肉加工品>加工品>コンビーフ,997000
食品>精肉・肉加工品>加工品>サラミ,6877000
食品>精肉・肉加工品>加工品>ジャーキー・燻製,11143000
食品>惣菜>中華惣菜・点心>スープ,4670000
食品>漬物・梅干し・キムチ>梅干し>田舎梅干し,4248000
食品>精肉・肉加工品>加工品>セット・詰め合わせ,47508000
食品>チーズ・乳製品>ヨーグルト>その他,3484000
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,3842000
食品>調味料>スパイス>シナモン,7587000
食品>精肉・肉加工品>加工品>その他,13616000
