ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,32000
ダイエット・健康>サプリメント>アミノ酸>その他,230353
ダイエット・健康>サプリメント>アミノ酸>オルニチン,11185
ダイエット・健康>サプリメント>アミノ酸>カルニチン,30522
ダイエット・健康>サプリメント>アミノ酸>ギャバ,42517
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,54794
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,41873
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,9380
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,12441
ダイエット・健康>サプリメント>ビタミン>その他,26149
ダイエット・健康>サプリメント>ビタミン>ビタミンA,6418
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3784
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,5434
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,6975
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,29401
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,2582
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,6595
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,14778
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,233
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,88214
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,38314
ダイエット・健康>サプリメント>ビタミン>ビタミンC,155330
ダイエット・健康>サプリメント>ビタミン>ビタミンD,54945
ダイエット・健康>サプリメント>ビタミン>ビタミンE,15642
ダイエット・健康>サプリメント>ビタミン>ビタミンK,2012
ダイエット・健康>サプリメント>ビタミン>ビタミンP,592
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,96268
ダイエット・健康>サプリメント>ファイトケミカル>その他,942
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,26475
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,4349
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,19709
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,9985
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,3467
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,6258
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,6114
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,114327
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,296065
ダイエット・健康>サプリメント>プロテイン>その他,223626
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,3747
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,150134
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,6335
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,669501
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,134104
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,14314
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,8308
ダイエット・健康>サプリメント>プロバイオティクス>その他,89641
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2183
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,1804
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,81969
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,11634
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,22684
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,2043
ダイエット・健康>サプリメント>ミネラル>その他,22160
ダイエット・健康>サプリメント>ミネラル>カリウム,11673
ダイエット・健康>サプリメント>ミネラル>カルシウム,66472
ダイエット・健康>サプリメント>ミネラル>クロム,238
ダイエット・健康>サプリメント>ミネラル>ケイ素,10090
ダイエット・健康>サプリメント>ミネラル>マグネシウム,23041
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,17614
ダイエット・健康>サプリメント>ミネラル>マンガン,228
ダイエット・健康>サプリメント>ミネラル>ヨウ素,759
ダイエット・健康>サプリメント>ミネラル>亜鉛,58811
ダイエット・健康>サプリメント>ミネラル>鉄,68488
ダイエット・健康>サプリメント>ミネラル>銅,288
ダイエット・健康>サプリメント>動物性エキス>その他,21424
ダイエット・健康>サプリメント>動物性エキス>サメ,6291
ダイエット・健康>サプリメント>動物性エキス>シジミ,10867
ダイエット・健康>サプリメント>動物性エキス>スッポン,19360
ダイエット・健康>サプリメント>動物性エキス>卵黄,757
ダイエット・健康>サプリメント>植物性エキス>じゃばら,5525
ダイエット・健康>サプリメント>植物性エキス>その他,158474
ダイエット・健康>サプリメント>植物性エキス>アサイー,6913
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,18296
ダイエット・健康>サプリメント>植物性エキス>ウコン,40096
ダイエット・健康>サプリメント>植物性エキス>エキナセア,1402
ダイエット・健康>サプリメント>植物性エキス>カカオ,267
ダイエット・健康>サプリメント>植物性エキス>カプサイシン,1755
ダイエット・健康>サプリメント>植物性エキス>カムカム,216
ダイエット・健康>サプリメント>植物性エキス>ガラナ,814
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム,35072
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>その他,28511
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>アガリクス茸,5940
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>シイタケ,621
ダイエット・健康>サプリメント>植物性エキス>クロレラ,15993
ダイエット・健康>サプリメント>植物性エキス>ゴジベリー,1271
ダイエット・健康>サプリメント>植物性エキス>サラシア,31335
ダイエット・健康>サプリメント>植物性エキス>スピルリナ,21308
ダイエット・健康>サプリメント>植物性エキス>セントジョーンズワート,2251
ダイエット・健康>サプリメント>植物性エキス>チアシード,5964
ダイエット・健康>サプリメント>植物性エキス>トンカットアリ,11579
ダイエット・健康>サプリメント>植物性エキス>ニンニク,7285
ダイエット・健康>サプリメント>植物性エキス>ノコギリヤシ,16526
ダイエット・健康>サプリメント>植物性エキス>バジルシード,57
ダイエット・健康>サプリメント>植物性エキス>ビーポーレン,1465
ダイエット・健康>サプリメント>植物性エキス>フォルスコリ,4418
ダイエット・健康>サプリメント>植物性エキス>フコイダン,29390
ダイエット・健康>サプリメント>植物性エキス>ブルーベリー,27296
ダイエット・健康>サプリメント>植物性エキス>プエラリア,3134
ダイエット・健康>サプリメント>植物性エキス>マカ,38501
ダイエット・健康>サプリメント>植物性エキス>マキベリー,2233
ダイエット・健康>サプリメント>植物性エキス>メシマコブ茸,387
ダイエット・健康>サプリメント>植物性エキス>梅肉,11969
ダイエット・健康>サプリメント>植物性エキス>田七人参,12368
ダイエット・健康>サプリメント>植物性エキス>高麗人参,21279
ダイエット・健康>サプリメント>植物性エキス>黒豆,896
ダイエット・健康>サプリメント>脂肪酸・オイル>CLA,348
ダイエット・健康>サプリメント>脂肪酸・オイル>DHA,105966
