ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,14520
食品>チーズ・乳製品>チーズ>ウォッシュ,1473
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,397
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,434
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,0
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,642
食品>チーズ・乳製品>チーズ>シェーブル,326
食品>チーズ・乳製品>チーズ>スモークチーズ,966
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,10785
食品>チーズ・乳製品>チーズ>セミハード,30339
食品>チーズ・乳製品>チーズ>セミハード>その他,5901
食品>チーズ・乳製品>チーズ>セミハード>エダム,530
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,367
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,17271
食品>チーズ・乳製品>チーズ>セミハード>チェダー,3715
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,427
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2128
食品>チーズ・乳製品>チーズ>チーズフォンデュ,447
食品>チーズ・乳製品>チーズ>ハード,9835
食品>チーズ・乳製品>チーズ>ハード>その他,1658
食品>チーズ・乳製品>チーズ>ハード>エメンタール,254
食品>チーズ・乳製品>チーズ>ハード>コンテ,486
食品>チーズ・乳製品>チーズ>ハード>チェダー,180
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6521
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,735
食品>チーズ・乳製品>チーズ>フレッシュ,12631
食品>チーズ・乳製品>チーズ>フレッシュ>その他,615
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,352
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,3831
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,217
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,70
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,1198
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,6131
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,217
食品>チーズ・乳製品>チーズ>プロセス,6507
食品>チーズ・乳製品>チーズ>白カビ,3015
食品>チーズ・乳製品>チーズ>白カビ>その他,175
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,1814
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,19
食品>チーズ・乳製品>チーズ>白カビ>ブリー,1007
