ジャンル名,売上金額（千円）
食品>不明>ロングパスタ>その他,3205
食品>不明>ロングパスタ>カッペリーニ,227
食品>不明>ロングパスタ>スパゲッティーニ,6120
食品>不明>ロングパスタ>スパゲティー,26847
食品>不明>ロングパスタ>フェットチーネ,1412
食品>不明>ロングパスタ>フェデレリーニ,1143
食品>不明>ロングパスタ>ブカティーニ,35
食品>不明>ロングパスタ>リングイネ,588
食品>食品>チーズ・乳製品>チーズ>その他,12626
食品>食品>チーズ・乳製品>チーズ>その他(1409削除),0
食品>食品>チーズ・乳製品>チーズ>ウォッシュ,745
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>その他,361
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,378
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,6
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,0
食品>食品>チーズ・乳製品>チーズ>シェーブル,288
食品>食品>チーズ・乳製品>チーズ>スモークチーズ,846
食品>食品>チーズ・乳製品>チーズ>セット・詰め合わせ,9842
食品>食品>チーズ・乳製品>チーズ>セミハード,16099
食品>食品>チーズ・乳製品>チーズ>セミハード>その他,4678
食品>食品>チーズ・乳製品>チーズ>セミハード>エダム,199
食品>食品>チーズ・乳製品>チーズ>セミハード>エメンタール,299
食品>食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,7154
食品>食品>チーズ・乳製品>チーズ>セミハード>チェダー,2083
食品>食品>チーズ・乳製品>チーズ>セミハード>ミモレット,342
食品>食品>チーズ・乳製品>チーズ>セミハード>ラクレット,1344
食品>食品>チーズ・乳製品>チーズ>チーズフォンデュ,457
食品>食品>チーズ・乳製品>チーズ>ハード,8040
食品>食品>チーズ・乳製品>チーズ>ハード>その他,1513
食品>食品>チーズ・乳製品>チーズ>ハード>エメンタール,121
食品>食品>チーズ・乳製品>チーズ>ハード>コンテ,413
食品>食品>チーズ・乳製品>チーズ>ハード>チェダー,301
食品>食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,5109
食品>食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,584
食品>食品>チーズ・乳製品>チーズ>フレッシュ,11005
食品>食品>チーズ・乳製品>チーズ>フレッシュ>その他,632
食品>食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,275
食品>食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,3562
食品>食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,212
