ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,48310
ダイエット・健康>サプリメント>アミノ酸>その他,238738
ダイエット・健康>サプリメント>アミノ酸>オルニチン,14285
ダイエット・健康>サプリメント>アミノ酸>カルニチン,36971
ダイエット・健康>サプリメント>アミノ酸>ギャバ,37052
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,64323
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,63216
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,6769
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,11715
ダイエット・健康>サプリメント>ビタミン>その他,25138
ダイエット・健康>サプリメント>ビタミン>ビタミンA,7564
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4203
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,3076
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,11606
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,19976
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,1762
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,8667
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,16883
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,87
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,114635
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,34700
ダイエット・健康>サプリメント>ビタミン>ビタミンC,195756
ダイエット・健康>サプリメント>ビタミン>ビタミンD,41954
ダイエット・健康>サプリメント>ビタミン>ビタミンE,17293
ダイエット・健康>サプリメント>ビタミン>ビタミンK,1909
ダイエット・健康>サプリメント>ビタミン>ビタミンP,805
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,117679
ダイエット・健康>サプリメント>ファイトケミカル>その他,2039
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,35195
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,5528
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,16517
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,6628
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,4290
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,5599
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,3639
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,127320
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,336247
ダイエット・健康>サプリメント>プロテイン>その他,228240
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,5031
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,169836
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,10107
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,797380
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,194105
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,12442
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,6727
ダイエット・健康>サプリメント>プロバイオティクス>その他,76093
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2674
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2929
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,96034
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,13602
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,19506
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,3883
ダイエット・健康>サプリメント>ミネラル>その他,20676
ダイエット・健康>サプリメント>ミネラル>カリウム,11299
ダイエット・健康>サプリメント>ミネラル>カルシウム,72925
ダイエット・健康>サプリメント>ミネラル>クロム,412
ダイエット・健康>サプリメント>ミネラル>ケイ素,16369
ダイエット・健康>サプリメント>ミネラル>マグネシウム,23738
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,16091
ダイエット・健康>サプリメント>ミネラル>マンガン,137
ダイエット・健康>サプリメント>ミネラル>ヨウ素,315
ダイエット・健康>サプリメント>ミネラル>亜鉛,69020
ダイエット・健康>サプリメント>ミネラル>鉄,70889
ダイエット・健康>サプリメント>ミネラル>銅,431
ダイエット・健康>サプリメント>動物性エキス>その他,23633
ダイエット・健康>サプリメント>動物性エキス>サメ,13781
ダイエット・健康>サプリメント>動物性エキス>シジミ,20237
ダイエット・健康>サプリメント>動物性エキス>スッポン,19237
ダイエット・健康>サプリメント>動物性エキス>卵黄,500
ダイエット・健康>サプリメント>植物性エキス>じゃばら,1804
ダイエット・健康>サプリメント>植物性エキス>その他,212627
ダイエット・健康>サプリメント>植物性エキス>アサイー,5963
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,22656
ダイエット・健康>サプリメント>植物性エキス>ウコン,92352
ダイエット・健康>サプリメント>植物性エキス>エキナセア,2668
ダイエット・健康>サプリメント>植物性エキス>カカオ,116
ダイエット・健康>サプリメント>植物性エキス>カプサイシン,2824
ダイエット・健康>サプリメント>植物性エキス>カムカム,248
ダイエット・健康>サプリメント>植物性エキス>ガラナ,1177
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム,43087
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>その他,35934
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>アガリクス茸,6414
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>シイタケ,739
ダイエット・健康>サプリメント>植物性エキス>クロレラ,18250
ダイエット・健康>サプリメント>植物性エキス>ゴジベリー,2143
ダイエット・健康>サプリメント>植物性エキス>サラシア,49004
ダイエット・健康>サプリメント>植物性エキス>スピルリナ,32222
ダイエット・健康>サプリメント>植物性エキス>セントジョーンズワート,2921
ダイエット・健康>サプリメント>植物性エキス>チアシード,5329
ダイエット・健康>サプリメント>植物性エキス>トンカットアリ,12122
ダイエット・健康>サプリメント>植物性エキス>ニンニク,7201
ダイエット・健康>サプリメント>植物性エキス>ノコギリヤシ,24730
ダイエット・健康>サプリメント>植物性エキス>バジルシード,24
ダイエット・健康>サプリメント>植物性エキス>ビーポーレン,1400
ダイエット・健康>サプリメント>植物性エキス>フォルスコリ,5955
ダイエット・健康>サプリメント>植物性エキス>フコイダン,12158
ダイエット・健康>サプリメント>植物性エキス>ブルーベリー,34153
ダイエット・健康>サプリメント>植物性エキス>プエラリア,4764
ダイエット・健康>サプリメント>植物性エキス>マカ,52659
ダイエット・健康>サプリメント>植物性エキス>マキベリー,2335
ダイエット・健康>サプリメント>植物性エキス>メシマコブ茸,283
ダイエット・健康>サプリメント>植物性エキス>梅肉,12834
ダイエット・健康>サプリメント>植物性エキス>田七人参,15516
ダイエット・健康>サプリメント>植物性エキス>高麗人参,26288
ダイエット・健康>サプリメント>植物性エキス>黒豆,1100
ダイエット・健康>サプリメント>脂肪酸・オイル>CLA,499
ダイエット・健康>サプリメント>脂肪酸・オイル>DHA,139632
ダイエット・健康>サプリメント>脂肪酸・オイル>EPA,7962
ダイエット・健康>サプリメント>脂肪酸・オイル>HMB,18332
ダイエット・健康>サプリメント>脂肪酸・オイル>その他,5267
ダイエット・健康>サプリメント>脂肪酸・オイル>クリルオイル,5009
ダイエット・健康>サプリメント>脂肪酸・オイル>フィッシュオイル,14531
ダイエット・健康>サプリメント>脂肪酸・オイル>マルチ脂肪酸,7553
ダイエット・健康>サプリメント>酵素>SOD,13561
ダイエット・健康>サプリメント>酵素>その他,77546
ダイエット・健康>サプリメント>酵素>アルファリポ酸,6081
ダイエット・健康>サプリメント>酵素>コエンザイムQ10,32243
ダイエット・健康>サプリメント>酵素>マルチ酵素,51172
ダイエット・健康>ダイエット>ダイエットスイーツ>その他,1649
ダイエット・健康>ダイエット>ダイエットスイーツ>ウエハース,152
ダイエット・健康>ダイエット>ダイエットスイーツ>ガム,6
ダイエット・健康>ダイエット>ダイエットスイーツ>キャンディ,1399
ダイエット・健康>ダイエット>ダイエットスイーツ>クッキー・ビスケット,10166
ダイエット・健康>ダイエット>ダイエットスイーツ>クラッカー,104
ダイエット・健康>ダイエット>ダイエットスイーツ>グミ,198
ダイエット・健康>ダイエット>ダイエットスイーツ>ケーキ,718
ダイエット・健康>ダイエット>ダイエットスイーツ>ゼリー,6834
ダイエット・健康>ダイエット>ダイエットスイーツ>チップス・せんべい,2144
ダイエット・健康>ダイエット>ダイエットスイーツ>チョコレートバー,2400
ダイエット・健康>ダイエット>ダイエットスイーツ>フレーク,32
ダイエット・健康>ダイエット>ダイエットスイーツ>プリン,450
ダイエット・健康>ダイエット>ダイエットスイーツ>ラスク,4
ダイエット・健康>ダイエット>ダイエットスイーツ>和菓子,377
ダイエット・健康>ダイエット>ダイエットドリンク>その他,8021
ダイエット・健康>ダイエット>ダイエットドリンク>グリーンスムージー,16542
ダイエット・健康>ダイエット>ダイエットドリンク>ゼリー飲料,7417
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットココア,1760
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットコーヒー,29517
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットシェイク,34810
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー,45271
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>その他,18874
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>ダイエットフルーツ茶,2315
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>ダイエット紅茶,18368
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>ダイエット緑茶,5714
ダイエット・健康>ダイエット>ダイエットドリンク>ファスティングドリンク（短期断食）,52082
ダイエット・健康>ダイエット>ダイエットドリンク>酵素配合飲料,42039
ダイエット・健康>ダイエット>ダイエットフード>その他,50719
ダイエット・健康>ダイエット>ダイエットフード>もどきご飯・こんにゃくご飯,24157
ダイエット・健康>ダイエット>ダイエットフード>スープ,10915
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット,3158
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>あずき玄米粥,34
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>その他,1189
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>リゾット,1261
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>玄米リゾット,13
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>玄米粥,97
