ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,16223
食品>チーズ・乳製品>チーズ>ウォッシュ,858
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,447
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,403
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,8
食品>チーズ・乳製品>チーズ>シェーブル,306
食品>チーズ・乳製品>チーズ>スモークチーズ,2187
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,8797
食品>チーズ・乳製品>チーズ>セミハード,16181
食品>チーズ・乳製品>チーズ>セミハード>その他,4101
食品>チーズ・乳製品>チーズ>セミハード>エダム,369
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,340
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,7856
食品>チーズ・乳製品>チーズ>セミハード>チェダー,1416
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,381
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,1719
食品>チーズ・乳製品>チーズ>チーズフォンデュ,285
食品>チーズ・乳製品>チーズ>ハード,10435
食品>チーズ・乳製品>チーズ>ハード>その他,2199
食品>チーズ・乳製品>チーズ>ハード>エメンタール,151
食品>チーズ・乳製品>チーズ>ハード>コンテ,305
食品>チーズ・乳製品>チーズ>ハード>チェダー,231
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6668
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,881
食品>チーズ・乳製品>チーズ>フレッシュ,12837
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1058
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,266
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4201
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,57
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,3
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,747
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,5954
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,552
食品>チーズ・乳製品>チーズ>プロセス,4937
食品>チーズ・乳製品>チーズ>白カビ,10161
食品>チーズ・乳製品>チーズ>白カビ>その他,219
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,8793
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,34
食品>チーズ・乳製品>チーズ>白カビ>ブリー,1115
食品>チーズ・乳製品>チーズ>青カビ・ブルー,2440
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,803
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1286
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,150
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,80
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,123
食品>チーズ・乳製品>バター>有塩バター,17448
食品>チーズ・乳製品>バター>無塩バター,23408
食品>チーズ・乳製品>ヨーグルト>その他,5400
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2095
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,4706
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,9932
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,8040
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,27769
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1266
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,3360
食品>パン・ジャム・シリアル>シリアル>その他,12970
食品>パン・ジャム・シリアル>シリアル>オートミール,41908
食品>パン・ジャム・シリアル>シリアル>グラノーラ,42156
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,2493
食品>パン・ジャム・シリアル>シリアル>ブラン,4962
食品>パン・ジャム・シリアル>シリアル>ミューズリー,4009
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1800
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,5321
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,337597
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,187010
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,798
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,147731
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,2058
食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,1551
食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,34532
食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,1886
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,8455
