ジャンル名,売上金額（千円）
ダイエット・健康>ダイエット・健康>サプリメント>その他,1347474
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸,484943
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>BCAA,51623
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>その他,274447
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>オルニチン,13873
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>カルニチン,38878
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>ギャバ,32800
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,73323
ダイエット・健康>ダイエット・健康>サプリメント>オリゴ糖,24425
ダイエット・健康>ダイエット・健康>サプリメント>クエン酸,40124
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン,85783
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,63188
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,7998
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,14597
ダイエット・健康>ダイエット・健康>サプリメント>コラーゲン,198790
ダイエット・健康>ダイエット・健康>サプリメント>ヒアルロン酸,20016
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン,647821
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>その他,27789
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンA,6941
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4444
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB12,3096
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB2,11530
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,16235
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,4049
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB6,7380
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,16298
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB8,168
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,116365
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB群,34050
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンC,212790
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンD,42053
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンE,18165
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンK,1925
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンP,559
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>マルチビタミン,123983
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン・ミネラル混合,79505
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル,562491
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>その他,2726
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,39197
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>カテキン,5677
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,20509
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,7820
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,4332
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,8358
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,3136
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,115901
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,375345
ダイエット・健康>ダイエット・健康>サプリメント>プラセンタ,86425
ダイエット・健康>ダイエット・健康>サプリメント>プロテイン,1584831
ダイエット・健康>ダイエット・健康>サプリメント>プロテイン>その他,287982
ダイエット・健康>ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,5853
ダイエット・健康>ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,175559
