ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,48033
ダイエット・健康>サプリメント>アミノ酸>その他,292261
ダイエット・健康>サプリメント>アミノ酸>オルニチン,11036
ダイエット・健康>サプリメント>アミノ酸>カルニチン,28404
ダイエット・健康>サプリメント>アミノ酸>ギャバ,36203
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,71303
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,47676
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,8303
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,9848
ダイエット・健康>サプリメント>ビタミン>その他,29233
ダイエット・健康>サプリメント>ビタミン>ビタミンA,7471
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4136
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,3319
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,6377
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,15992
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,5038
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,8369
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,13040
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,159
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,95904
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,37658
ダイエット・健康>サプリメント>ビタミン>ビタミンC,176117
ダイエット・健康>サプリメント>ビタミン>ビタミンD,37668
ダイエット・健康>サプリメント>ビタミン>ビタミンE,16946
ダイエット・健康>サプリメント>ビタミン>ビタミンK,1964
ダイエット・健康>サプリメント>ビタミン>ビタミンP,796
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,107457
ダイエット・健康>サプリメント>ファイトケミカル>その他,1477
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,29794
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,5186
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,21297
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,11606
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,4318
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,5373
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,4604
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,105194
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,351569
ダイエット・健康>サプリメント>プロテイン>その他,254226
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,5936
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,179491
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,9917
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,859771
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,236208
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,10903
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,5073
ダイエット・健康>サプリメント>プロバイオティクス>その他,83872
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,1786
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2341
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,83241
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,11616
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,19308
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,2309
ダイエット・健康>サプリメント>ミネラル>その他,30268
ダイエット・健康>サプリメント>ミネラル>カリウム,10441
ダイエット・健康>サプリメント>ミネラル>カルシウム,54192
