ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,13857
食品>チーズ・乳製品>チーズ>ウォッシュ,1213
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,862
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,328
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,23
食品>チーズ・乳製品>チーズ>シェーブル,538
食品>チーズ・乳製品>チーズ>スモークチーズ,3343
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,16701
食品>チーズ・乳製品>チーズ>セミハード,29747
食品>チーズ・乳製品>チーズ>セミハード>その他,6716
食品>チーズ・乳製品>チーズ>セミハード>エダム,319
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,368
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,16282
食品>チーズ・乳製品>チーズ>セミハード>チェダー,4135
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,205
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,1723
食品>チーズ・乳製品>チーズ>チーズフォンデュ,466
食品>チーズ・乳製品>チーズ>ハード,9749
食品>チーズ・乳製品>チーズ>ハード>その他,2060
食品>チーズ・乳製品>チーズ>ハード>エメンタール,125
食品>チーズ・乳製品>チーズ>ハード>コンテ,317
食品>チーズ・乳製品>チーズ>ハード>チェダー,142
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6457
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,648
食品>チーズ・乳製品>チーズ>フレッシュ,15007
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1375
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,235
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,5143
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,83
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,31
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,656
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,7359
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,126
食品>チーズ・乳製品>チーズ>プロセス,4724
食品>チーズ・乳製品>チーズ>白カビ,4845
食品>チーズ・乳製品>チーズ>白カビ>その他,269
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,3018
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,16
食品>チーズ・乳製品>チーズ>白カビ>ブリー,1542
食品>チーズ・乳製品>チーズ>青カビ・ブルー,2612
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,641
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1755
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,63
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,31
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,122
食品>チーズ・乳製品>バター>有塩バター,14769
食品>チーズ・乳製品>バター>無塩バター,22853
食品>チーズ・乳製品>ヨーグルト>その他,5919
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2107
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,4670
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,14163
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,7994
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,29023
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1072
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,3164
食品>パン・ジャム・シリアル>シリアル>その他,26997
食品>パン・ジャム・シリアル>シリアル>オートミール,55312
食品>パン・ジャム・シリアル>シリアル>グラノーラ,70985
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,2784
食品>パン・ジャム・シリアル>シリアル>ブラン,2816
食品>パン・ジャム・シリアル>シリアル>ミューズリー,4124
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,2681
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,5706
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,407984
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,240952
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,407
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,162479
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,4145
食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,2529
食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,42460
食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,2853
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,10132
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,6447
食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,3279
食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,15582
食品>パン・ジャム・シリアル>パン>その他,17650
食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,100
食品>パン・ジャム・シリアル>パン>クロワッサン,29177
食品>パン・ジャム・シリアル>パン>グリッシーニ,155
食品>パン・ジャム・シリアル>パン>スコーン,9682
食品>パン・ジャム・シリアル>パン>セット・詰め合わせ,94858
食品>パン・ジャム・シリアル>パン>デニッシュ,13043
食品>パン・ジャム・シリアル>パン>ドイツパン,4318
食品>パン・ジャム・シリアル>パン>ナン,1617
食品>パン・ジャム・シリアル>パン>フォカッチャ,196
食品>パン・ジャム・シリアル>パン>フランスパン,6619
食品>パン・ジャム・シリアル>パン>プレッツェル,981
食品>パン・ジャム・シリアル>パン>ベーグル,50431
食品>パン・ジャム・シリアル>パン>ロールパン,7398
食品>パン・ジャム・シリアル>パン>惣菜パン,11487
食品>パン・ジャム・シリアル>パン>菓子パン,26605
食品>パン・ジャム・シリアル>パン>菓子パン>あんパン,2197
食品>パン・ジャム・シリアル>パン>菓子パン>その他,10428
食品>パン・ジャム・シリアル>パン>菓子パン>クリームパン,7541
食品>パン・ジャム・シリアル>パン>菓子パン>ジャムパン,142
食品>パン・ジャム・シリアル>パン>菓子パン>チョコレートパン,5051
食品>パン・ジャム・シリアル>パン>菓子パン>メロンパン,1246
食品>パン・ジャム・シリアル>パン>食パン,27422
食品>乾物>海苔>きざみ海苔・もみ海苔,4811
食品>乾物>海苔>その他,7883
食品>乾物>海苔>セット・詰め合わせ,11049
食品>乾物>海苔>味付け海苔,55318
食品>乾物>海苔>焼き海苔,125712
食品>乾物>海苔>青海苔,5283
食品>乾物>海苔>韓国海苔,13741
食品>乾物>鰹節>その他,5314
食品>乾物>鰹節>セット・詰め合わせ,4740
食品>乾物>鰹節>仕上節,2751
食品>乾物>鰹節>厚削り節,3254
食品>乾物>鰹節>薄削り節,9236
食品>惣菜>おせちセット>その他,44
食品>惣菜>おせちセット>中華おせちセット,11
食品>惣菜>おせちセット>和洋おせちセット,355
食品>惣菜>おせちセット>和風おせちセット,874
食品>惣菜>おせちセット>洋風おせちセット,226
食品>惣菜>アジアン・エスニック惣菜>その他,1573
食品>惣菜>アジアン・エスニック惣菜>セット・詰め合わせ,2087
食品>惣菜>アジアン・エスニック惣菜>タイ料理,3688
食品>惣菜>アジアン・エスニック惣菜>タイ料理>その他,2555
食品>惣菜>アジアン・エスニック惣菜>タイ料理>セット・詰め合わせ,891
食品>惣菜>アジアン・エスニック惣菜>タイ料理>トムヤムクン,242
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理,741
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>その他,102
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>フォー,386
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>生春巻,252
食品>惣菜>アジアン・エスニック惣菜>南米料理,2435
食品>惣菜>アジアン・エスニック惣菜>南米料理>その他,2010
食品>惣菜>アジアン・エスニック惣菜>南米料理>タコス,247
食品>惣菜>アジアン・エスニック惣菜>南米料理>トルティーヤ,179
食品>惣菜>中華惣菜・点心>あんまん,654
食品>惣菜>中華惣菜・点心>その他,29012
食品>惣菜>中華惣菜・点心>ちまき,5730
食品>惣菜>中華惣菜・点心>エビチリ,1746
食品>惣菜>中華惣菜・点心>シュウマイ,9972
食品>惣菜>中華惣菜・点心>スープ,6546
食品>惣菜>中華惣菜・点心>セット・詰め合わせ,115084
食品>惣菜>中華惣菜・点心>中華ポテト,65
食品>惣菜>中華惣菜・点心>北京ダック,243
食品>惣菜>中華惣菜・点心>小籠包,9333
食品>惣菜>中華惣菜・点心>揚げもち,107
食品>惣菜>中華惣菜・点心>春巻き,3286
食品>惣菜>中華惣菜・点心>肉まん,16893
食品>惣菜>中華惣菜・点心>蒸し鶏,129
食品>惣菜>中華惣菜・点心>角煮,4831
食品>惣菜>中華惣菜・点心>酢豚,904
食品>惣菜>中華惣菜・点心>餃子,284765
食品>惣菜>中華惣菜・点心>餃子>その他,25436
食品>惣菜>中華惣菜・点心>餃子>セット・詰め合わせ,39042
食品>惣菜>中華惣菜・点心>餃子>水餃子,3913
食品>惣菜>中華惣菜・点心>餃子>生餃子,216373
食品>惣菜>中華惣菜・点心>饅頭,1200
食品>惣菜>中華惣菜・点心>麻婆豆腐,1495
食品>惣菜>和風惣菜>おこわ,20817
食品>惣菜>和風惣菜>おでん,2774
食品>惣菜>和風惣菜>おにぎり,20339
食品>惣菜>和風惣菜>おひたし,110
食品>惣菜>和風惣菜>お吸い物,8812
食品>惣菜>和風惣菜>お好み焼き,14892
食品>惣菜>和風惣菜>お粥,15076
食品>惣菜>和風惣菜>お茶漬け,174042
食品>惣菜>和風惣菜>その他,48038
食品>惣菜>和風惣菜>たこ焼き,7220
食品>惣菜>和風惣菜>なます・酢の物,20
食品>惣菜>和風惣菜>ひつまぶし,14401
食品>惣菜>和風惣菜>みそ汁,130047
食品>惣菜>和風惣菜>もんじゃ焼き,189
食品>惣菜>和風惣菜>セット・詰め合わせ,153988
食品>惣菜>和風惣菜>丼,307645
食品>惣菜>和風惣菜>丼>その他,22028
食品>惣菜>和風惣菜>丼>カツ丼,1258
食品>惣菜>和風惣菜>丼>牛丼,268384
食品>惣菜>和風惣菜>丼>親子丼,9168
食品>惣菜>和風惣菜>丼>豚丼,6807
食品>惣菜>和風惣菜>佃煮,71386
食品>惣菜>和風惣菜>刺身・たたき,30282
食品>惣菜>和風惣菜>卵焼き,359
食品>惣菜>和風惣菜>唐揚げ,40547
食品>惣菜>和風惣菜>天かす・揚げ玉,449
食品>惣菜>和風惣菜>天ぷら,1709
食品>惣菜>和風惣菜>寿司,32392
食品>惣菜>和風惣菜>焼き魚,11739
食品>惣菜>和風惣菜>焼き鳥・つくね,19211
食品>惣菜>和風惣菜>焼豚,16603
食品>惣菜>和風惣菜>煮物,14977
食品>惣菜>和風惣菜>白焼き,11386
食品>惣菜>和風惣菜>茶碗蒸し,1989
食品>惣菜>和風惣菜>蒲焼き,1643591
食品>惣菜>和風惣菜>赤飯,1248
食品>惣菜>和風惣菜>雑炊,23413
食品>惣菜>洋風惣菜>その他,40075
食品>惣菜>洋風惣菜>とんかつ,26767
食品>惣菜>洋風惣菜>とんかつ>その他,6751
食品>惣菜>洋風惣菜>とんかつ>ヒレ,473
食品>惣菜>洋風惣菜>とんかつ>ロース,19543
食品>惣菜>洋風惣菜>グラタン,2894
食品>惣菜>洋風惣菜>コロッケ,13257
食品>惣菜>洋風惣菜>サラダ,1553
食品>惣菜>洋風惣菜>シチュー,10204
食品>惣菜>洋風惣菜>スープ,228581
食品>惣菜>洋風惣菜>セット・詰め合わせ,72170
食品>惣菜>洋風惣菜>テリーヌ,155
食品>惣菜>洋風惣菜>ドリア,704
食品>惣菜>洋風惣菜>ハヤシライス,2918
食品>惣菜>洋風惣菜>ハンバーガー,536
食品>惣菜>洋風惣菜>ハンバーグ,167330
食品>惣菜>洋風惣菜>パエリア,1805
食品>惣菜>洋風惣菜>ピザ,50218
食品>惣菜>洋風惣菜>リゾット,1327
食品>惣菜>鍋セット>きりたんぽ鍋,458
食品>惣菜>鍋セット>すき焼き,1968
食品>惣菜>鍋セット>その他,12849
食品>惣菜>鍋セット>ちゃんこ鍋,195
食品>惣菜>鍋セット>もつ鍋,30353
食品>惣菜>鍋セット>キムチ鍋,521
食品>惣菜>鍋セット>水炊き,5145
食品>惣菜>鍋セット>石狩鍋,47
食品>惣菜>韓国惣菜>その他,13672
食品>惣菜>韓国惣菜>スープ,8445
食品>惣菜>韓国惣菜>セット・詰め合わせ,34602
食品>惣菜>韓国惣菜>チヂミ,1768
食品>惣菜>韓国惣菜>トッポギ,2911
食品>惣菜>韓国惣菜>ナムル,391
食品>惣菜>韓国惣菜>プルコギ,1084
食品>惣菜>韓国惣菜>参鶏湯,8509
食品>漬物・梅干し・キムチ>梅干し>きざみ梅,1442
食品>漬物・梅干し・キムチ>梅干し>しそ梅,28981
食品>漬物・梅干し・キムチ>梅干し>その他,74946
食品>漬物・梅干し・キムチ>梅干し>ねり梅,5475
食品>漬物・梅干し・キムチ>梅干し>はちみつ梅,120292
食品>漬物・梅干し・キムチ>梅干し>セット・詰め合わせ,16998
食品>漬物・梅干し・キムチ>梅干し>小梅,5366
食品>漬物・梅干し・キムチ>梅干し>干し梅,6319
食品>漬物・梅干し・キムチ>梅干し>梅干しにんにく,3199
食品>漬物・梅干し・キムチ>梅干し>焼梅干し,985
食品>漬物・梅干し・キムチ>梅干し>田舎梅干し,11977
食品>漬物・梅干し・キムチ>梅干し>白梅干し,14688
食品>漬物・梅干し・キムチ>梅干し>赤じそ漬け,8899
食品>漬物・梅干し・キムチ>漬物>かす漬け,3363
食品>漬物・梅干し・キムチ>漬物>こうじ漬け,821
