ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,13881
食品>チーズ・乳製品>チーズ>ウォッシュ,564
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,301
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,242
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,21
食品>チーズ・乳製品>チーズ>シェーブル,218
食品>チーズ・乳製品>チーズ>スモークチーズ,1743
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,9981
食品>チーズ・乳製品>チーズ>セミハード,18957
食品>チーズ・乳製品>チーズ>セミハード>その他,5571
食品>チーズ・乳製品>チーズ>セミハード>エダム,315
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,258
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,8674
食品>チーズ・乳製品>チーズ>セミハード>チェダー,1833
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,242
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2064
食品>チーズ・乳製品>チーズ>チーズフォンデュ,289
食品>チーズ・乳製品>チーズ>ハード,7723
食品>チーズ・乳製品>チーズ>ハード>その他,1864
食品>チーズ・乳製品>チーズ>ハード>エメンタール,75
食品>チーズ・乳製品>チーズ>ハード>コンテ,277
食品>チーズ・乳製品>チーズ>ハード>チェダー,113
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,4698
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,696
食品>チーズ・乳製品>チーズ>フレッシュ,14533
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1104
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,204
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4433
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,50
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,44
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,830
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,7690
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,178
食品>チーズ・乳製品>チーズ>プロセス,4721
食品>チーズ・乳製品>チーズ>白カビ,5899
食品>チーズ・乳製品>チーズ>白カビ>その他,227
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,4318
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,26
食品>チーズ・乳製品>チーズ>白カビ>ブリー,1328
食品>チーズ・乳製品>チーズ>青カビ・ブルー,2124
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,447
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1433
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,42
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,65
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,137
食品>チーズ・乳製品>バター>有塩バター,13311
食品>チーズ・乳製品>バター>無塩バター,19308
食品>チーズ・乳製品>ヨーグルト>その他,5342
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2186
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,3929
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,12074
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,7449
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,25870
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,996
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,3074
食品>パン・ジャム・シリアル>シリアル>その他,22658
食品>パン・ジャム・シリアル>シリアル>オートミール,32374
食品>パン・ジャム・シリアル>シリアル>グラノーラ,30580
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,2095
食品>パン・ジャム・シリアル>シリアル>ブラン,1976
食品>パン・ジャム・シリアル>シリアル>ミューズリー,2689
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1755
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,7631
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,262171
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,145893
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,269
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,113040
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,2969
食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,2254
食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,26547
食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,1684
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,8607
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,4502
食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,2109
食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,9460
食品>パン・ジャム・シリアル>パン>その他,13094
食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,58
