ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,50752
ダイエット・健康>サプリメント>アミノ酸>その他,276748
ダイエット・健康>サプリメント>アミノ酸>オルニチン,12875
ダイエット・健康>サプリメント>アミノ酸>カルニチン,28057
ダイエット・健康>サプリメント>アミノ酸>ギャバ,38944
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,72221
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,49599
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,9152
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,12778
ダイエット・健康>サプリメント>ビタミン>その他,27370
ダイエット・健康>サプリメント>ビタミン>ビタミンA,7006
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4120
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,2936
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,7522
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,17621
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,4076
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,8819
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,15897
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,309
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,108888
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,40603
ダイエット・健康>サプリメント>ビタミン>ビタミンC,172071
ダイエット・健康>サプリメント>ビタミン>ビタミンD,37503
ダイエット・健康>サプリメント>ビタミン>ビタミンE,15993
ダイエット・健康>サプリメント>ビタミン>ビタミンK,1946
ダイエット・健康>サプリメント>ビタミン>ビタミンP,731
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,112971
ダイエット・健康>サプリメント>ファイトケミカル>その他,1451
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,28971
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,4756
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,14560
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,4310
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,4450
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,5801
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,4547
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,114409
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,304701
ダイエット・健康>サプリメント>プロテイン>その他,277876
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,6395
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,206297
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,12252
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,945103
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,297804
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,14212
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,6589
ダイエット・健康>サプリメント>プロバイオティクス>その他,72955
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,1876
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2978
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,89481
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,10970
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,17887
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,2299
ダイエット・健康>サプリメント>ミネラル>その他,22804
ダイエット・健康>サプリメント>ミネラル>カリウム,12101
ダイエット・健康>サプリメント>ミネラル>カルシウム,65098
ダイエット・健康>サプリメント>ミネラル>クロム,443
ダイエット・健康>サプリメント>ミネラル>ケイ素,12807
ダイエット・健康>サプリメント>ミネラル>マグネシウム,24414
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,17296
ダイエット・健康>サプリメント>ミネラル>マンガン,368
ダイエット・健康>サプリメント>ミネラル>ヨウ素,583
ダイエット・健康>サプリメント>ミネラル>亜鉛,63725
ダイエット・健康>サプリメント>ミネラル>鉄,75518
ダイエット・健康>サプリメント>ミネラル>銅,434
ダイエット・健康>サプリメント>動物性エキス>その他,21310
ダイエット・健康>サプリメント>動物性エキス>サメ,9745
ダイエット・健康>サプリメント>動物性エキス>シジミ,14386
ダイエット・健康>サプリメント>動物性エキス>スッポン,16760
ダイエット・健康>サプリメント>動物性エキス>卵黄,732
ダイエット・健康>サプリメント>植物性エキス>じゃばら,1044
ダイエット・健康>サプリメント>植物性エキス>その他,163793
ダイエット・健康>サプリメント>植物性エキス>アサイー,4992
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,19350
ダイエット・健康>サプリメント>植物性エキス>ウコン,43795
ダイエット・健康>サプリメント>植物性エキス>エキナセア,1274
ダイエット・健康>サプリメント>植物性エキス>カカオ,165
ダイエット・健康>サプリメント>植物性エキス>カプサイシン,2438
ダイエット・健康>サプリメント>植物性エキス>カムカム,310
ダイエット・健康>サプリメント>植物性エキス>ガラナ,923
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム,44559
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>その他,32891
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>アガリクス茸,10855
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>シイタケ,813
ダイエット・健康>サプリメント>植物性エキス>クロレラ,18978
ダイエット・健康>サプリメント>植物性エキス>ゴジベリー,2204
ダイエット・健康>サプリメント>植物性エキス>サラシア,29748
ダイエット・健康>サプリメント>植物性エキス>スピルリナ,25064
ダイエット・健康>サプリメント>植物性エキス>セントジョーンズワート,2735
ダイエット・健康>サプリメント>植物性エキス>チアシード,7205
ダイエット・健康>サプリメント>植物性エキス>トンカットアリ,10372
ダイエット・健康>サプリメント>植物性エキス>ニンニク,7580
ダイエット・健康>サプリメント>植物性エキス>ノコギリヤシ,21126
ダイエット・健康>サプリメント>植物性エキス>バジルシード,89
ダイエット・健康>サプリメント>植物性エキス>ビーポーレン,1173
ダイエット・健康>サプリメント>植物性エキス>フォルスコリ,5070
ダイエット・健康>サプリメント>植物性エキス>フコイダン,22840
ダイエット・健康>サプリメント>植物性エキス>ブルーベリー,29865
ダイエット・健康>サプリメント>植物性エキス>プエラリア,4288
ダイエット・健康>サプリメント>植物性エキス>マカ,52372
ダイエット・健康>サプリメント>植物性エキス>マキベリー,2935
ダイエット・健康>サプリメント>植物性エキス>メシマコブ茸,566
ダイエット・健康>サプリメント>植物性エキス>梅肉,11835
ダイエット・健康>サプリメント>植物性エキス>田七人参,14149
ダイエット・健康>サプリメント>植物性エキス>高麗人参,24024
ダイエット・健康>サプリメント>植物性エキス>黒豆,1599
ダイエット・健康>サプリメント>脂肪酸・オイル>CLA,558
ダイエット・健康>サプリメント>脂肪酸・オイル>DHA,106751
ダイエット・健康>サプリメント>脂肪酸・オイル>EPA,8544
ダイエット・健康>サプリメント>脂肪酸・オイル>HMB,18026
ダイエット・健康>サプリメント>脂肪酸・オイル>その他,5763
ダイエット・健康>サプリメント>脂肪酸・オイル>クリルオイル,4984
ダイエット・健康>サプリメント>脂肪酸・オイル>フィッシュオイル,14694
ダイエット・健康>サプリメント>脂肪酸・オイル>マルチ脂肪酸,7459
ダイエット・健康>サプリメント>酵素>SOD,13848
ダイエット・健康>サプリメント>酵素>その他,67700
ダイエット・健康>サプリメント>酵素>アルファリポ酸,5791
ダイエット・健康>サプリメント>酵素>コエンザイムQ10,28841
ダイエット・健康>サプリメント>酵素>マルチ酵素,35536
ダイエット・健康>ダイエット>ダイエットスイーツ>その他,1589
ダイエット・健康>ダイエット>ダイエットスイーツ>ウエハース,105
ダイエット・健康>ダイエット>ダイエットスイーツ>ガム,9
ダイエット・健康>ダイエット>ダイエットスイーツ>キャンディ,871
ダイエット・健康>ダイエット>ダイエットスイーツ>クッキー・ビスケット,11734
ダイエット・健康>ダイエット>ダイエットスイーツ>クラッカー,46
ダイエット・健康>ダイエット>ダイエットスイーツ>グミ,176
ダイエット・健康>ダイエット>ダイエットスイーツ>ケーキ,10858
ダイエット・健康>ダイエット>ダイエットスイーツ>ゼリー,8651
ダイエット・健康>ダイエット>ダイエットスイーツ>チップス・せんべい,1988
ダイエット・健康>ダイエット>ダイエットスイーツ>チョコレートバー,1148
ダイエット・健康>ダイエット>ダイエットスイーツ>フレーク,118
ダイエット・健康>ダイエット>ダイエットスイーツ>プリン,1097
ダイエット・健康>ダイエット>ダイエットスイーツ>ラスク,5
ダイエット・健康>ダイエット>ダイエットスイーツ>和菓子,182
ダイエット・健康>ダイエット>ダイエットドリンク>その他,8630
ダイエット・健康>ダイエット>ダイエットドリンク>グリーンスムージー,22477
ダイエット・健康>ダイエット>ダイエットドリンク>ゼリー飲料,10239
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットココア,894
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットコーヒー,23599
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットシェイク,35697
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー,40438
