ジャンル名,売上金額（千円）
食品>食品>チーズ・乳製品>チーズ>その他,20538
食品>食品>チーズ・乳製品>チーズ>ウォッシュ,1616
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>その他,827
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,384
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,24
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,382
食品>食品>チーズ・乳製品>チーズ>シェーブル,475
食品>食品>チーズ・乳製品>チーズ>スモークチーズ,777
食品>食品>チーズ・乳製品>チーズ>セット・詰め合わせ,10419
食品>食品>チーズ・乳製品>チーズ>セミハード,29917
食品>食品>チーズ・乳製品>チーズ>セミハード>その他,6770
食品>食品>チーズ・乳製品>チーズ>セミハード>エダム,394
食品>食品>チーズ・乳製品>チーズ>セミハード>エメンタール,471
食品>食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,17305
食品>食品>チーズ・乳製品>チーズ>セミハード>チェダー,2613
食品>食品>チーズ・乳製品>チーズ>セミハード>ミモレット,395
食品>食品>チーズ・乳製品>チーズ>セミハード>ラクレット,1969
食品>食品>チーズ・乳製品>チーズ>チーズフォンデュ,613
食品>食品>チーズ・乳製品>チーズ>ハード,10925
食品>食品>チーズ・乳製品>チーズ>ハード>その他,2153
食品>食品>チーズ・乳製品>チーズ>ハード>エメンタール,155
食品>食品>チーズ・乳製品>チーズ>ハード>コンテ,454
食品>食品>チーズ・乳製品>チーズ>ハード>チェダー,188
食品>食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,7266
食品>食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,709
食品>食品>チーズ・乳製品>チーズ>フレッシュ,13572
食品>食品>チーズ・乳製品>チーズ>フレッシュ>その他,1526
食品>食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,220
食品>食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,3917
食品>食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,83
食品>食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,37
食品>食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,766
食品>食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,6796
食品>食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,227
食品>食品>チーズ・乳製品>チーズ>プロセス,5584
食品>食品>チーズ・乳製品>チーズ>白カビ,6065
食品>食品>チーズ・乳製品>チーズ>白カビ>その他,136
食品>食品>チーズ・乳製品>チーズ>白カビ>カマンベール,4263
食品>食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,7
食品>食品>チーズ・乳製品>チーズ>白カビ>ブリー,1659
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー,2757
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,804
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1592
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,71
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,124
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,167
食品>食品>チーズ・乳製品>バター>有塩バター,13742
食品>食品>チーズ・乳製品>バター>無塩バター,32391
食品>食品>チーズ・乳製品>ヨーグルト>その他,4779
食品>食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2303
食品>食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,2842
食品>食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,9690
食品>食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,7411
食品>食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,25457
食品>食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1049
食品>食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,2807
食品>食品>パン・ジャム・シリアル>クルトン,421
食品>食品>パン・ジャム・シリアル>シリアル,129825
食品>食品>パン・ジャム・シリアル>シリアル>その他,29990
食品>食品>パン・ジャム・シリアル>シリアル>オートミール,52247
食品>食品>パン・ジャム・シリアル>シリアル>グラノーラ,37419
食品>食品>パン・ジャム・シリアル>シリアル>コーンフレーク,1912
食品>食品>パン・ジャム・シリアル>シリアル>ブラン,3654
食品>食品>パン・ジャム・シリアル>シリアル>ミューズリー,3162
食品>食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1442
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ,428635
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,5053
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,361522
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,184147
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,326
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,172949
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,4100
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,1812
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,28956
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,1711
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,8149
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,5631
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,1349
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,14451
食品>食品>パン・ジャム・シリアル>セット・詰め合わせ,21532
食品>食品>パン・ジャム・シリアル>パン,327035
食品>食品>パン・ジャム・シリアル>パン>その他,13216
食品>食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,78
食品>食品>パン・ジャム・シリアル>パン>クロワッサン,47372
食品>食品>パン・ジャム・シリアル>パン>グリッシーニ,102
食品>食品>パン・ジャム・シリアル>パン>スコーン,9864
食品>食品>パン・ジャム・シリアル>パン>セット・詰め合わせ,87795
食品>食品>パン・ジャム・シリアル>パン>デニッシュ,10486
食品>食品>パン・ジャム・シリアル>パン>ドイツパン,3319
食品>食品>パン・ジャム・シリアル>パン>ナン,1624
食品>食品>パン・ジャム・シリアル>パン>フォカッチャ,43
食品>食品>パン・ジャム・シリアル>パン>フランスパン,5129
食品>食品>パン・ジャム・シリアル>パン>プレッツェル,759
食品>食品>パン・ジャム・シリアル>パン>ベーグル,71479
食品>食品>パン・ジャム・シリアル>パン>ロールパン,8048
食品>食品>パン・ジャム・シリアル>パン>惣菜パン,5175
