ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,15399
食品>チーズ・乳製品>チーズ>ウォッシュ,2674
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,675
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,420
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,28
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,1551
食品>チーズ・乳製品>チーズ>シェーブル,451
食品>チーズ・乳製品>チーズ>スモークチーズ,2129
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,9221
食品>チーズ・乳製品>チーズ>セミハード,22651
食品>チーズ・乳製品>チーズ>セミハード>その他,5573
食品>チーズ・乳製品>チーズ>セミハード>エダム,408
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,602
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,10548
食品>チーズ・乳製品>チーズ>セミハード>チェダー,2427
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,329
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2764
食品>チーズ・乳製品>チーズ>チーズフォンデュ,873
食品>チーズ・乳製品>チーズ>ハード,10163
食品>チーズ・乳製品>チーズ>ハード>その他,2544
食品>チーズ・乳製品>チーズ>ハード>エメンタール,188
食品>チーズ・乳製品>チーズ>ハード>コンテ,468
食品>チーズ・乳製品>チーズ>ハード>チェダー,177
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6055
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,732
食品>チーズ・乳製品>チーズ>フレッシュ,14703
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1323
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,207
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,5501
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,75
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,26
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,901
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,6464
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,207
食品>チーズ・乳製品>チーズ>プロセス,7118
食品>チーズ・乳製品>チーズ>白カビ,4213
食品>チーズ・乳製品>チーズ>白カビ>その他,293
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,1991
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,42
食品>チーズ・乳製品>チーズ>白カビ>ブリー,1888
食品>チーズ・乳製品>チーズ>青カビ・ブルー,3748
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,620
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,2769
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,133
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,82
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,143
食品>チーズ・乳製品>バター>有塩バター,19544
食品>チーズ・乳製品>バター>無塩バター,32879
食品>チーズ・乳製品>ヨーグルト>その他,5551
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2414
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,4178
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,12640
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,9169
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,37650
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1247
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,4281
食品>パン・ジャム・シリアル>シリアル>その他,26946
食品>パン・ジャム・シリアル>シリアル>オートミール,42183
食品>パン・ジャム・シリアル>シリアル>グラノーラ,39911
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,2954
食品>パン・ジャム・シリアル>シリアル>ブラン,3409
食品>パン・ジャム・シリアル>シリアル>ミューズリー,4507
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,2058
