ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,38187
ダイエット・健康>サプリメント>アミノ酸>その他,246146
ダイエット・健康>サプリメント>アミノ酸>オルニチン,11061
ダイエット・健康>サプリメント>アミノ酸>カルニチン,34506
ダイエット・健康>サプリメント>アミノ酸>ギャバ,44259
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,75028
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,50912
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,11832
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,9977
ダイエット・健康>サプリメント>ビタミン>その他,28670
ダイエット・健康>サプリメント>ビタミン>ビタミンA,6030
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4039
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,7254
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,5840
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,37451
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,2476
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,7149
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,15466
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,376
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,89123
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,43723
ダイエット・健康>サプリメント>ビタミン>ビタミンC,191129
ダイエット・健康>サプリメント>ビタミン>ビタミンD,69989
ダイエット・健康>サプリメント>ビタミン>ビタミンE,16209
ダイエット・健康>サプリメント>ビタミン>ビタミンK,1983
ダイエット・健康>サプリメント>ビタミン>ビタミンP,865
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,110784
ダイエット・健康>サプリメント>ファイトケミカル>その他,2605
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,30439
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,4667
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,24621
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,14829
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,3486
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,6306
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,5437
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,128576
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,330494
ダイエット・健康>サプリメント>プロテイン>その他,287900
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,4806
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,201485
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,7262
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,822923
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,198156
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,15083
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,6759
ダイエット・健康>サプリメント>プロバイオティクス>その他,108740
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2376
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2056
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,90303
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,10760
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,22838
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,2066
ダイエット・健康>サプリメント>ミネラル>その他,26666
ダイエット・健康>サプリメント>ミネラル>カリウム,13547
ダイエット・健康>サプリメント>ミネラル>カルシウム,77825
ダイエット・健康>サプリメント>ミネラル>クロム,410
ダイエット・健康>サプリメント>ミネラル>ケイ素,9989
ダイエット・健康>サプリメント>ミネラル>マグネシウム,27812
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,19613
ダイエット・健康>サプリメント>ミネラル>マンガン,12
ダイエット・健康>サプリメント>ミネラル>ヨウ素,465
ダイエット・健康>サプリメント>ミネラル>亜鉛,63846
