ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,52515
ダイエット・健康>サプリメント>アミノ酸>その他,291999
ダイエット・健康>サプリメント>アミノ酸>オルニチン,14097
ダイエット・健康>サプリメント>アミノ酸>カルニチン,37044
ダイエット・健康>サプリメント>アミノ酸>ギャバ,34087
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,65183
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,60189
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,6651
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,11491
ダイエット・健康>サプリメント>ビタミン>その他,20869
ダイエット・健康>サプリメント>ビタミン>ビタミンA,3775
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3111
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,1885
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,3843
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,19026
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,3432
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,2632
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,12838
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,123
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,137651
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,23290
ダイエット・健康>サプリメント>ビタミン>ビタミンC,127864
ダイエット・健康>サプリメント>ビタミン>ビタミンD,19894
ダイエット・健康>サプリメント>ビタミン>ビタミンE,18849
ダイエット・健康>サプリメント>ビタミン>ビタミンK,726
ダイエット・健康>サプリメント>ビタミン>ビタミンP,638
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,117597
ダイエット・健康>サプリメント>ファイトケミカル>その他,3575
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,37853
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,3597
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,16174
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,6121
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,5657
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,4395
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,2338
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,127175
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,366811
ダイエット・健康>サプリメント>プロテイン>その他,450502
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,5208
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,164186
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,9513
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,812478
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,188598
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,5644
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,7354
ダイエット・健康>サプリメント>プロバイオティクス>その他,75557
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2573
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2250
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,98617
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,8982
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,8382
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,1928
ダイエット・健康>サプリメント>ミネラル>その他,14565
ダイエット・健康>サプリメント>ミネラル>カリウム,8152
ダイエット・健康>サプリメント>ミネラル>カルシウム,44853
ダイエット・健康>サプリメント>ミネラル>クロム,541
ダイエット・健康>サプリメント>ミネラル>ケイ素,13625
ダイエット・健康>サプリメント>ミネラル>マグネシウム,17968
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,10222
ダイエット・健康>サプリメント>ミネラル>マンガン,1
ダイエット・健康>サプリメント>ミネラル>ヨウ素,837
ダイエット・健康>サプリメント>ミネラル>亜鉛,56299
ダイエット・健康>サプリメント>ミネラル>鉄,46907
ダイエット・健康>サプリメント>ミネラル>銅,445
ダイエット・健康>サプリメント>動物性エキス>その他,20457
ダイエット・健康>サプリメント>動物性エキス>サメ,6711
ダイエット・健康>サプリメント>動物性エキス>シジミ,22011
ダイエット・健康>サプリメント>動物性エキス>スッポン,19857
ダイエット・健康>サプリメント>動物性エキス>卵黄,457
ダイエット・健康>サプリメント>植物性エキス>じゃばら,1203
ダイエット・健康>サプリメント>植物性エキス>その他,170627
ダイエット・健康>サプリメント>植物性エキス>アサイー,3189
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,16088
ダイエット・健康>サプリメント>植物性エキス>ウコン,32914
ダイエット・健康>サプリメント>植物性エキス>エキナセア,1481
