ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,15443
食品>チーズ・乳製品>チーズ>ウォッシュ,1392
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,734
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,437
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,11
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,211
食品>チーズ・乳製品>チーズ>シェーブル,182
食品>チーズ・乳製品>チーズ>スモークチーズ,942
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,10726
食品>チーズ・乳製品>チーズ>セミハード,24383
食品>チーズ・乳製品>チーズ>セミハード>その他,7211
食品>チーズ・乳製品>チーズ>セミハード>エダム,337
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,550
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,9978
食品>チーズ・乳製品>チーズ>セミハード>チェダー,2935
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,387
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2986
食品>チーズ・乳製品>チーズ>チーズフォンデュ,366
食品>チーズ・乳製品>チーズ>ハード,9122
食品>チーズ・乳製品>チーズ>ハード>その他,1678
食品>チーズ・乳製品>チーズ>ハード>エメンタール,140
食品>チーズ・乳製品>チーズ>ハード>コンテ,496
食品>チーズ・乳製品>チーズ>ハード>チェダー,256
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,5887
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,665
食品>チーズ・乳製品>チーズ>フレッシュ,14565
食品>チーズ・乳製品>チーズ>フレッシュ>その他,725
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,395
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4365
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,148
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,13
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,1006
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,7502
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,411
食品>チーズ・乳製品>チーズ>プロセス,5327
食品>チーズ・乳製品>チーズ>白カビ,7700
食品>チーズ・乳製品>チーズ>白カビ>その他,256
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,4936
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,7
食品>チーズ・乳製品>チーズ>白カビ>ブリー,2500
食品>チーズ・乳製品>チーズ>青カビ・ブルー,2940
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,1092
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1430
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,105
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,60
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,252
食品>チーズ・乳製品>バター>有塩バター,12428
食品>チーズ・乳製品>バター>無塩バター,25076
食品>チーズ・乳製品>ヨーグルト>その他,3011
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2789
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,1337
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,13702
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,6449
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,24896
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1365
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,1926
食品>パン・ジャム・シリアル>シリアル>その他,34800
食品>パン・ジャム・シリアル>シリアル>オートミール,60135
食品>パン・ジャム・シリアル>シリアル>グラノーラ,20311
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,1070
食品>パン・ジャム・シリアル>シリアル>ブラン,1922
食品>パン・ジャム・シリアル>シリアル>ミューズリー,1115
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,680
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,7618
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,411661
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,211037
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,639
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,196955
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,3029
食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,2498
食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,31867
食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,1453
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,6123
