ジャンル名,売上金額（千円）
ダイエット・健康>ダイエット・健康>サプリメント>その他,1432170
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸,420997
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>BCAA,58919
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>その他,251264
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>オルニチン,9838
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>カルニチン,24660
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>ギャバ,26755
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,49561
ダイエット・健康>ダイエット・健康>サプリメント>オリゴ糖,14184
ダイエット・健康>ダイエット・健康>サプリメント>クエン酸,33172
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン,53643
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,38306
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,6540
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,8797
ダイエット・健康>ダイエット・健康>サプリメント>コラーゲン,159058
ダイエット・健康>ダイエット・健康>サプリメント>ヒアルロン酸,19323
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン,399543
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>その他,19640
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンA,2809
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB1,2064
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB12,1350
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB2,721
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,7277
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,3257
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB6,1158
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,9358
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB8,107
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,114964
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンB群,17346
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンC,113045
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンD,15742
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンE,11359
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンK,523
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>ビタミンP,349
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン>マルチビタミン,78474
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン・ミネラル混合,35942
