ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,44796
ダイエット・健康>サプリメント>アミノ酸>その他,301310
ダイエット・健康>サプリメント>アミノ酸>オルニチン,13363
ダイエット・健康>サプリメント>アミノ酸>カルニチン,31645
ダイエット・健康>サプリメント>アミノ酸>ギャバ,39180
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,66409
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,56918
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,11403
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,13777
ダイエット・健康>サプリメント>ビタミン>その他,36920
ダイエット・健康>サプリメント>ビタミン>ビタミンA,7039
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4537
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,5440
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,7806
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,20665
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,1929
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,9339
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,21205
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,834
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,113382
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,44248
ダイエット・健康>サプリメント>ビタミン>ビタミンC,193241
ダイエット・健康>サプリメント>ビタミン>ビタミンD,56327
ダイエット・健康>サプリメント>ビタミン>ビタミンE,18878
ダイエット・健康>サプリメント>ビタミン>ビタミンK,2037
ダイエット・健康>サプリメント>ビタミン>ビタミンP,662
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,130581
ダイエット・健康>サプリメント>ファイトケミカル>その他,2267
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,29835
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,6076
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,24020
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,11790
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,4389
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,7841
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,6862
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,128770
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,330879
ダイエット・健康>サプリメント>プロテイン>その他,269396
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,3698
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,172612
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,8157
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,758178
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,156531
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,17413
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,8285
ダイエット・健康>サプリメント>プロバイオティクス>その他,113695
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2269
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2988
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,103481
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,13797
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,27905
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,3265
ダイエット・健康>サプリメント>ミネラル>その他,30845
ダイエット・健康>サプリメント>ミネラル>カリウム,11488
ダイエット・健康>サプリメント>ミネラル>カルシウム,91117
ダイエット・健康>サプリメント>ミネラル>クロム,434
ダイエット・健康>サプリメント>ミネラル>ケイ素,14973
ダイエット・健康>サプリメント>ミネラル>マグネシウム,24942
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,17886
ダイエット・健康>サプリメント>ミネラル>マンガン,24
ダイエット・健康>サプリメント>ミネラル>ヨウ素,365
ダイエット・健康>サプリメント>ミネラル>亜鉛,72770
ダイエット・健康>サプリメント>ミネラル>鉄,85439
ダイエット・健康>サプリメント>ミネラル>銅,565
ダイエット・健康>サプリメント>動物性エキス>その他,24593
ダイエット・健康>サプリメント>動物性エキス>サメ,18546
ダイエット・健康>サプリメント>動物性エキス>シジミ,17554
ダイエット・健康>サプリメント>動物性エキス>スッポン,20619
