ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,13458
食品>チーズ・乳製品>チーズ>ウォッシュ,1111
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,479
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,626
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,6
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,0
食品>チーズ・乳製品>チーズ>シェーブル,316
食品>チーズ・乳製品>チーズ>スモークチーズ,919
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,11486
食品>チーズ・乳製品>チーズ>セミハード,20034
食品>チーズ・乳製品>チーズ>セミハード>その他,5408
食品>チーズ・乳製品>チーズ>セミハード>エダム,553
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,411
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,8875
食品>チーズ・乳製品>チーズ>セミハード>チェダー,2129
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,471
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2188
食品>チーズ・乳製品>チーズ>チーズフォンデュ,425
食品>チーズ・乳製品>チーズ>ハード,9894
食品>チーズ・乳製品>チーズ>ハード>その他,1698
食品>チーズ・乳製品>チーズ>ハード>エメンタール,60
食品>チーズ・乳製品>チーズ>ハード>コンテ,804
食品>チーズ・乳製品>チーズ>ハード>チェダー,174
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6500
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,658
食品>チーズ・乳製品>チーズ>フレッシュ,14431
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1358
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,255
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4557
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,228
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,54
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,883
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,6731
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,364
食品>チーズ・乳製品>チーズ>プロセス,6557
食品>チーズ・乳製品>チーズ>白カビ,6469
食品>チーズ・乳製品>チーズ>白カビ>その他,415
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,4915
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,16
食品>チーズ・乳製品>チーズ>白カビ>ブリー,1123
食品>チーズ・乳製品>チーズ>青カビ・ブルー,2990
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,648
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1673
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,312
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,207
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,149
食品>チーズ・乳製品>バター>有塩バター,14954
食品>チーズ・乳製品>バター>無塩バター,25894
食品>チーズ・乳製品>ヨーグルト>その他,3812
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2797
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,3057
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,9534
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,8143
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,27589
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1511
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,3195
食品>パン・ジャム・シリアル>シリアル>その他,22251
食品>パン・ジャム・シリアル>シリアル>オートミール,46458
食品>パン・ジャム・シリアル>シリアル>グラノーラ,22355
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,2384
食品>パン・ジャム・シリアル>シリアル>ブラン,3403
食品>パン・ジャム・シリアル>シリアル>ミューズリー,2234
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1334
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,5386
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,306205
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,159260
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,590
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,141924
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,4432
食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,2386
食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,36170
食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,2161
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,5758
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,5447
食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,1836
食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,14996
食品>パン・ジャム・シリアル>パン>その他,12203
食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,83
食品>パン・ジャム・シリアル>パン>クロワッサン,46145
食品>パン・ジャム・シリアル>パン>グリッシーニ,140
食品>パン・ジャム・シリアル>パン>スコーン,9432
食品>パン・ジャム・シリアル>パン>セット・詰め合わせ,91367
食品>パン・ジャム・シリアル>パン>デニッシュ,13498
食品>パン・ジャム・シリアル>パン>ドイツパン,4883
食品>パン・ジャム・シリアル>パン>ナン,635
食品>パン・ジャム・シリアル>パン>フォカッチャ,32
食品>パン・ジャム・シリアル>パン>フランスパン,3321
食品>パン・ジャム・シリアル>パン>プレッツェル,943
食品>パン・ジャム・シリアル>パン>ベーグル,53101
食品>パン・ジャム・シリアル>パン>ロールパン,8327
食品>パン・ジャム・シリアル>パン>惣菜パン,5116
食品>パン・ジャム・シリアル>パン>菓子パン,34968
食品>パン・ジャム・シリアル>パン>菓子パン>あんパン,1651
食品>パン・ジャム・シリアル>パン>菓子パン>その他,18719
食品>パン・ジャム・シリアル>パン>菓子パン>クリームパン,12374
食品>パン・ジャム・シリアル>パン>菓子パン>ジャムパン,180
食品>パン・ジャム・シリアル>パン>菓子パン>チョコレートパン,1127
食品>パン・ジャム・シリアル>パン>菓子パン>メロンパン,919
食品>パン・ジャム・シリアル>パン>食パン,27391
食品>乾物>海苔>きざみ海苔・もみ海苔,4073
食品>乾物>海苔>その他,6172
食品>乾物>海苔>セット・詰め合わせ,8598
食品>乾物>海苔>味付け海苔,40861
食品>乾物>海苔>焼き海苔,98790
食品>乾物>海苔>青海苔,3969
食品>乾物>海苔>韓国海苔,11555
食品>乾物>鰹節>その他,2850
食品>乾物>鰹節>セット・詰め合わせ,3817
食品>乾物>鰹節>仕上節,2479
食品>乾物>鰹節>厚削り節,2329
食品>乾物>鰹節>薄削り節,5193
食品>惣菜>おせちセット>その他,0
食品>惣菜>おせちセット>中華おせちセット,7
食品>惣菜>おせちセット>和洋おせちセット,0
食品>惣菜>おせちセット>和洋中おせちセット,0
食品>惣菜>おせちセット>和風おせちセット,873
食品>惣菜>おせちセット>洋風おせちセット,81
食品>惣菜>アジアン・エスニック惣菜>その他,3564
食品>惣菜>アジアン・エスニック惣菜>セット・詰め合わせ,524
食品>惣菜>アジアン・エスニック惣菜>タイ料理,2156
食品>惣菜>アジアン・エスニック惣菜>タイ料理>その他,1535
食品>惣菜>アジアン・エスニック惣菜>タイ料理>セット・詰め合わせ,446
食品>惣菜>アジアン・エスニック惣菜>タイ料理>トムヤムクン,175
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理,1017
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>その他,165
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>フォー,584
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>生春巻,267
食品>惣菜>アジアン・エスニック惣菜>南米料理,1019
食品>惣菜>アジアン・エスニック惣菜>南米料理>その他,650
食品>惣菜>アジアン・エスニック惣菜>南米料理>タコス,92
食品>惣菜>アジアン・エスニック惣菜>南米料理>トルティーヤ,276
食品>惣菜>中華惣菜・点心>あんまん,761
食品>惣菜>中華惣菜・点心>その他,21404
食品>惣菜>中華惣菜・点心>ちまき,3577
食品>惣菜>中華惣菜・点心>エビチリ,986
食品>惣菜>中華惣菜・点心>シュウマイ,6444
食品>惣菜>中華惣菜・点心>スープ,4902
食品>惣菜>中華惣菜・点心>セット・詰め合わせ,75442
食品>惣菜>中華惣菜・点心>中華ポテト,101
食品>惣菜>中華惣菜・点心>北京ダック,266
食品>惣菜>中華惣菜・点心>小籠包,6843
食品>惣菜>中華惣菜・点心>揚げもち,97
食品>惣菜>中華惣菜・点心>春巻き,1583
食品>惣菜>中華惣菜・点心>肉まん,16034
食品>惣菜>中華惣菜・点心>蒸し鶏,122
食品>惣菜>中華惣菜・点心>角煮,2291
食品>惣菜>中華惣菜・点心>酢豚,671
食品>惣菜>中華惣菜・点心>餃子,212159
食品>惣菜>中華惣菜・点心>餃子>その他,19950
食品>惣菜>中華惣菜・点心>餃子>セット・詰め合わせ,41800
食品>惣菜>中華惣菜・点心>餃子>水餃子,2608
食品>惣菜>中華惣菜・点心>餃子>生餃子,147800
