ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,17085
食品>チーズ・乳製品>チーズ>ウォッシュ,1886
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,525
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,349
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,38
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,974
食品>チーズ・乳製品>チーズ>シェーブル,355
食品>チーズ・乳製品>チーズ>スモークチーズ,834
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,8714
食品>チーズ・乳製品>チーズ>セミハード,22319
食品>チーズ・乳製品>チーズ>セミハード>その他,6471
食品>チーズ・乳製品>チーズ>セミハード>エダム,356
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,448
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,10076
食品>チーズ・乳製品>チーズ>セミハード>チェダー,2476
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,307
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2184
食品>チーズ・乳製品>チーズ>チーズフォンデュ,751
食品>チーズ・乳製品>チーズ>ハード,10723
食品>チーズ・乳製品>チーズ>ハード>その他,2658
食品>チーズ・乳製品>チーズ>ハード>エメンタール,183
食品>チーズ・乳製品>チーズ>ハード>コンテ,394
食品>チーズ・乳製品>チーズ>ハード>チェダー,189
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6680
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,618
食品>チーズ・乳製品>チーズ>フレッシュ,14261
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1396
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,252
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4644
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,119
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,33
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,705
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,6878
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,235
食品>チーズ・乳製品>チーズ>プロセス,6877
