ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,58413
ダイエット・健康>サプリメント>アミノ酸>その他,276242
ダイエット・健康>サプリメント>アミノ酸>オルニチン,11448
ダイエット・健康>サプリメント>アミノ酸>カルニチン,23975
ダイエット・健康>サプリメント>アミノ酸>ギャバ,18574
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,55968
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,38344
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,5982
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,10193
ダイエット・健康>サプリメント>ビタミン>その他,17471
ダイエット・健康>サプリメント>ビタミン>ビタミンA,3130
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3155
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,1591
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,3526
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,8538
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,2655
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,1204
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,12535
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,8
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,140369
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,20619
ダイエット・健康>サプリメント>ビタミン>ビタミンC,135994
ダイエット・健康>サプリメント>ビタミン>ビタミンD,17081
ダイエット・健康>サプリメント>ビタミン>ビタミンE,13477
ダイエット・健康>サプリメント>ビタミン>ビタミンK,564
ダイエット・健康>サプリメント>ビタミン>ビタミンP,412
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,87899
ダイエット・健康>サプリメント>ファイトケミカル>その他,5691
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,31101
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,2838
