ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,34662
ダイエット・健康>サプリメント>アミノ酸>その他,237135
ダイエット・健康>サプリメント>アミノ酸>オルニチン,9856
ダイエット・健康>サプリメント>アミノ酸>カルニチン,28251
ダイエット・健康>サプリメント>アミノ酸>ギャバ,41978
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,62184
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,41053
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,10842
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,10094
ダイエット・健康>サプリメント>ビタミン>その他,24035
ダイエット・健康>サプリメント>ビタミン>ビタミンA,4244
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3322
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,5250
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,4810
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,32437
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,1990
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,6072
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,13368
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,141
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,63835
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,35744
ダイエット・健康>サプリメント>ビタミン>ビタミンC,164064
ダイエット・健康>サプリメント>ビタミン>ビタミンD,61688
ダイエット・健康>サプリメント>ビタミン>ビタミンE,13079
ダイエット・健康>サプリメント>ビタミン>ビタミンK,1550
ダイエット・健康>サプリメント>ビタミン>ビタミンP,634
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,89737
ダイエット・健康>サプリメント>ファイトケミカル>その他,1730
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,25174
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,4510
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,23533
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,15067
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,2545
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,5922
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,4949
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,102130
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,293509
ダイエット・健康>サプリメント>プロテイン>その他,284521
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,3984
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,170393
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,5438
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,774442
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,178737
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,13419
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,4672
ダイエット・健康>サプリメント>プロバイオティクス>その他,96749
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,1487
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,1724
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,73208
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,10212
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,17922
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,1993
ダイエット・健康>サプリメント>ミネラル>その他,24795
ダイエット・健康>サプリメント>ミネラル>カリウム,11361
ダイエット・健康>サプリメント>ミネラル>カルシウム,64939
ダイエット・健康>サプリメント>ミネラル>クロム,221
