ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,48956
ダイエット・健康>サプリメント>アミノ酸>その他,268352
ダイエット・健康>サプリメント>アミノ酸>オルニチン,12814
ダイエット・健康>サプリメント>アミノ酸>カルニチン,30853
ダイエット・健康>サプリメント>アミノ酸>ギャバ,49077
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,62120
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,37430
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,10020
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,22869
ダイエット・健康>サプリメント>ビタミン>その他,20544
ダイエット・健康>サプリメント>ビタミン>ビタミンA,3259
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,2752
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,1859
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,11673
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,18812
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,3023
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,3579
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,12324
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,359
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,126353
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,22579
ダイエット・健康>サプリメント>ビタミン>ビタミンC,121168
ダイエット・健康>サプリメント>ビタミン>ビタミンD,20368
ダイエット・健康>サプリメント>ビタミン>ビタミンE,15918
ダイエット・健康>サプリメント>ビタミン>ビタミンK,904
ダイエット・健康>サプリメント>ビタミン>ビタミンP,513
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,104377
ダイエット・健康>サプリメント>ファイトケミカル>その他,3227
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,32891
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,3273
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,18556
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,6527
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,5018
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,7010
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,2587
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,126239
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,379909
ダイエット・健康>サプリメント>プロテイン>その他,399472
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,3791
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,147791
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,7418
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,665349
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,151420
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,7823
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,9645
ダイエット・健康>サプリメント>プロバイオティクス>その他,78721
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2521
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2540
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,86227
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,8743
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,14187
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,1938
ダイエット・健康>サプリメント>ミネラル>その他,14347
ダイエット・健康>サプリメント>ミネラル>カリウム,8017
ダイエット・健康>サプリメント>ミネラル>カルシウム,45750
ダイエット・健康>サプリメント>ミネラル>クロム,711
ダイエット・健康>サプリメント>ミネラル>ケイ素,13868
ダイエット・健康>サプリメント>ミネラル>マグネシウム,17567
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,10431
ダイエット・健康>サプリメント>ミネラル>マンガン,8
ダイエット・健康>サプリメント>ミネラル>ヨウ素,711
ダイエット・健康>サプリメント>ミネラル>亜鉛,55727
ダイエット・健康>サプリメント>ミネラル>鉄,44943
ダイエット・健康>サプリメント>ミネラル>銅,1654
ダイエット・健康>サプリメント>動物性エキス>その他,19225
ダイエット・健康>サプリメント>動物性エキス>サメ,4177
ダイエット・健康>サプリメント>動物性エキス>シジミ,25395
ダイエット・健康>サプリメント>動物性エキス>スッポン,15790
ダイエット・健康>サプリメント>動物性エキス>卵黄,448
ダイエット・健康>サプリメント>植物性エキス>じゃばら,3315
ダイエット・健康>サプリメント>植物性エキス>その他,175838
ダイエット・健康>サプリメント>植物性エキス>アサイー,5794
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,12999
ダイエット・健康>サプリメント>植物性エキス>ウコン,30753
ダイエット・健康>サプリメント>植物性エキス>エキナセア,1713
ダイエット・健康>サプリメント>植物性エキス>カカオ,705
ダイエット・健康>サプリメント>植物性エキス>カプサイシン,3004
ダイエット・健康>サプリメント>植物性エキス>カムカム,21
ダイエット・健康>サプリメント>植物性エキス>ガラナ,699
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム,38078
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>その他,32203
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>アガリクス茸,5768
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>シイタケ,107
ダイエット・健康>サプリメント>植物性エキス>クロレラ,12403
ダイエット・健康>サプリメント>植物性エキス>ゴジベリー,2765
ダイエット・健康>サプリメント>植物性エキス>サラシア,86009
ダイエット・健康>サプリメント>植物性エキス>スピルリナ,29002
ダイエット・健康>サプリメント>植物性エキス>セントジョーンズワート,3316
ダイエット・健康>サプリメント>植物性エキス>チアシード,4558
ダイエット・健康>サプリメント>植物性エキス>トンカットアリ,4195
ダイエット・健康>サプリメント>植物性エキス>ニンニク,6124
ダイエット・健康>サプリメント>植物性エキス>ノコギリヤシ,20673
ダイエット・健康>サプリメント>植物性エキス>バジルシード,95
ダイエット・健康>サプリメント>植物性エキス>ビーポーレン,2598
ダイエット・健康>サプリメント>植物性エキス>フォルスコリ,21608
