ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,9961
食品>チーズ・乳製品>チーズ>ウォッシュ,708
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,394
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,299
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,15
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,0
食品>チーズ・乳製品>チーズ>シェーブル,268
食品>チーズ・乳製品>チーズ>スモークチーズ,637
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,7484
食品>チーズ・乳製品>チーズ>セミハード,13948
食品>チーズ・乳製品>チーズ>セミハード>その他,4568
食品>チーズ・乳製品>チーズ>セミハード>エダム,192
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,230
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,5528
食品>チーズ・乳製品>チーズ>セミハード>チェダー,1594
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,240
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,1597
食品>チーズ・乳製品>チーズ>チーズフォンデュ,232
食品>チーズ・乳製品>チーズ>ハード,7499
食品>チーズ・乳製品>チーズ>ハード>その他,1615
食品>チーズ・乳製品>チーズ>ハード>エメンタール,96
食品>チーズ・乳製品>チーズ>ハード>コンテ,727
食品>チーズ・乳製品>チーズ>ハード>チェダー,180
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,4333
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,548
食品>チーズ・乳製品>チーズ>フレッシュ,11011
食品>チーズ・乳製品>チーズ>フレッシュ>その他,500
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,239
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,3304
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,125
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,23
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,674
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,5902
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,246
食品>チーズ・乳製品>チーズ>プロセス,3840
食品>チーズ・乳製品>チーズ>白カビ,3519
食品>チーズ・乳製品>チーズ>白カビ>その他,209
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,2375
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,6
食品>チーズ・乳製品>チーズ>白カビ>ブリー,928
食品>チーズ・乳製品>チーズ>青カビ・ブルー,1743
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,417
