ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,85334
ダイエット・健康>サプリメント>アミノ酸>その他,363277
ダイエット・健康>サプリメント>アミノ酸>オルニチン,14995
ダイエット・健康>サプリメント>アミノ酸>カルニチン,48770
ダイエット・健康>サプリメント>アミノ酸>ギャバ,24452
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,68406
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,44936
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,5645
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,10569
ダイエット・健康>サプリメント>ビタミン>その他,20707
ダイエット・健康>サプリメント>ビタミン>ビタミンA,3200
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3057
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,1902
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,5137
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,9976
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,3435
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,1576
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,17309
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,77
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,160934
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,24701
ダイエット・健康>サプリメント>ビタミン>ビタミンC,171912
ダイエット・健康>サプリメント>ビタミン>ビタミンD,20281
ダイエット・健康>サプリメント>ビタミン>ビタミンE,15163
ダイエット・健康>サプリメント>ビタミン>ビタミンK,509
ダイエット・健康>サプリメント>ビタミン>ビタミンP,336
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,109963
ダイエット・健康>サプリメント>ファイトケミカル>その他,5001
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,39116
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,3557
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,18118
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,7149
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,6532
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,4437
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,1352
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,162644
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,308001
ダイエット・健康>サプリメント>プロテイン>その他,509438
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,4719
