ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,69415
ダイエット・健康>サプリメント>アミノ酸>その他,249482
ダイエット・健康>サプリメント>アミノ酸>オルニチン,14573
ダイエット・健康>サプリメント>アミノ酸>カルニチン,41596
ダイエット・健康>サプリメント>アミノ酸>ギャバ,27064
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,76710
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,51024
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,6823
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,9283
ダイエット・健康>サプリメント>ビタミン>その他,23047
ダイエット・健康>サプリメント>ビタミン>ビタミンA,7058
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3660
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,2824
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,9621
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,15812
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,4667
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,5876
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,14617
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,441
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,116540
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,21469
ダイエット・健康>サプリメント>ビタミン>ビタミンC,138652
ダイエット・健康>サプリメント>ビタミン>ビタミンD,22016
ダイエット・健康>サプリメント>ビタミン>ビタミンE,15522
ダイエット・健康>サプリメント>ビタミン>ビタミンK,820
ダイエット・健康>サプリメント>ビタミン>ビタミンP,623
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,103000
ダイエット・健康>サプリメント>ファイトケミカル>その他,3259
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,41419
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,3781
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,18199
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,7355
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,4902
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,5943
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,3069
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,107888
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,308115
ダイエット・健康>サプリメント>プロテイン>その他,420802
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,7189
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,186065
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,8047
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,864149
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,211192
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,11890
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,7327
ダイエット・健康>サプリメント>プロバイオティクス>その他,83259
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2217
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2575
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,85434
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,9584
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,21387
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,1965
ダイエット・健康>サプリメント>ミネラル>その他,19245
ダイエット・健康>サプリメント>ミネラル>カリウム,9469
ダイエット・健康>サプリメント>ミネラル>カルシウム,50284
ダイエット・健康>サプリメント>ミネラル>クロム,694
ダイエット・健康>サプリメント>ミネラル>ケイ素,14011
ダイエット・健康>サプリメント>ミネラル>マグネシウム,16696
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,10567
ダイエット・健康>サプリメント>ミネラル>マンガン,17
ダイエット・健康>サプリメント>ミネラル>ヨウ素,1923
ダイエット・健康>サプリメント>ミネラル>亜鉛,53343
ダイエット・健康>サプリメント>ミネラル>鉄,48176
ダイエット・健康>サプリメント>ミネラル>銅,1115
ダイエット・健康>サプリメント>動物性エキス>その他,19103
ダイエット・健康>サプリメント>動物性エキス>サメ,10786
ダイエット・健康>サプリメント>動物性エキス>シジミ,14291
ダイエット・健康>サプリメント>動物性エキス>スッポン,13727
ダイエット・健康>サプリメント>動物性エキス>卵黄,323
ダイエット・健康>サプリメント>植物性エキス>じゃばら,2322
ダイエット・健康>サプリメント>植物性エキス>その他,200928
ダイエット・健康>サプリメント>植物性エキス>アサイー,2917
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,15955
ダイエット・健康>サプリメント>植物性エキス>ウコン,32047
ダイエット・健康>サプリメント>植物性エキス>エキナセア,1113
ダイエット・健康>サプリメント>植物性エキス>カカオ,883
ダイエット・健康>サプリメント>植物性エキス>カプサイシン,1667
ダイエット・健康>サプリメント>植物性エキス>カムカム,61
ダイエット・健康>サプリメント>植物性エキス>ガラナ,1184
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム,36742
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>その他,29867
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>アガリクス茸,6691
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>シイタケ,184
ダイエット・健康>サプリメント>植物性エキス>クロレラ,11914
ダイエット・健康>サプリメント>植物性エキス>ゴジベリー,2351
ダイエット・健康>サプリメント>植物性エキス>サラシア,56293
ダイエット・健康>サプリメント>植物性エキス>スピルリナ,36003
ダイエット・健康>サプリメント>植物性エキス>セントジョーンズワート,2777
ダイエット・健康>サプリメント>植物性エキス>チアシード,4738
ダイエット・健康>サプリメント>植物性エキス>トンカットアリ,5225
ダイエット・健康>サプリメント>植物性エキス>ニンニク,5490
ダイエット・健康>サプリメント>植物性エキス>ノコギリヤシ,18442
ダイエット・健康>サプリメント>植物性エキス>バジルシード,22
ダイエット・健康>サプリメント>植物性エキス>ビーポーレン,1679
ダイエット・健康>サプリメント>植物性エキス>フォルスコリ,12206
ダイエット・健康>サプリメント>植物性エキス>フコイダン,11820
ダイエット・健康>サプリメント>植物性エキス>ブルーベリー,27399
ダイエット・健康>サプリメント>植物性エキス>プエラリア,3965
ダイエット・健康>サプリメント>植物性エキス>マカ,56956
ダイエット・健康>サプリメント>植物性エキス>マキベリー,1522
ダイエット・健康>サプリメント>植物性エキス>メシマコブ茸,519
ダイエット・健康>サプリメント>植物性エキス>梅肉,11810
ダイエット・健康>サプリメント>植物性エキス>田七人参,13522
ダイエット・健康>サプリメント>植物性エキス>高麗人参,17208
ダイエット・健康>サプリメント>植物性エキス>黒豆,2259
ダイエット・健康>サプリメント>脂肪酸・オイル>CLA,602
ダイエット・健康>サプリメント>脂肪酸・オイル>DHA,141840
ダイエット・健康>サプリメント>脂肪酸・オイル>EPA,6895
ダイエット・健康>サプリメント>脂肪酸・オイル>HMB,24571
ダイエット・健康>サプリメント>脂肪酸・オイル>その他,5295
ダイエット・健康>サプリメント>脂肪酸・オイル>クリルオイル,2133
ダイエット・健康>サプリメント>脂肪酸・オイル>フィッシュオイル,6483
ダイエット・健康>サプリメント>脂肪酸・オイル>マルチ脂肪酸,9624
ダイエット・健康>サプリメント>酵素>SOD,11009
ダイエット・健康>サプリメント>酵素>その他,121515
ダイエット・健康>サプリメント>酵素>アルファリポ酸,5846
ダイエット・健康>サプリメント>酵素>コエンザイムQ10,30466
ダイエット・健康>サプリメント>酵素>マルチ酵素,45838
ダイエット・健康>ダイエット>ダイエットスイーツ>その他,2733
ダイエット・健康>ダイエット>ダイエットスイーツ>ウエハース,192
ダイエット・健康>ダイエット>ダイエットスイーツ>ガム,22
ダイエット・健康>ダイエット>ダイエットスイーツ>キャンディ,1827
ダイエット・健康>ダイエット>ダイエットスイーツ>クッキー・ビスケット,17366
ダイエット・健康>ダイエット>ダイエットスイーツ>クラッカー,2
ダイエット・健康>ダイエット>ダイエットスイーツ>グミ,249
ダイエット・健康>ダイエット>ダイエットスイーツ>ケーキ,874
ダイエット・健康>ダイエット>ダイエットスイーツ>ゼリー,12815
ダイエット・健康>ダイエット>ダイエットスイーツ>チップス・せんべい,3817
ダイエット・健康>ダイエット>ダイエットスイーツ>チョコレートバー,4779
ダイエット・健康>ダイエット>ダイエットスイーツ>フレーク,240
ダイエット・健康>ダイエット>ダイエットスイーツ>プリン,672
ダイエット・健康>ダイエット>ダイエットスイーツ>ラスク,13
ダイエット・健康>ダイエット>ダイエットスイーツ>和菓子,981
ダイエット・健康>ダイエット>ダイエットドリンク>その他,12722
ダイエット・健康>ダイエット>ダイエットドリンク>グリーンスムージー,31440
ダイエット・健康>ダイエット>ダイエットドリンク>ゼリー飲料,8069
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットココア,961
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットコーヒー,33352
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットシェイク,56476
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー,51581
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>その他,19709
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>ダイエットフルーツ茶,2487
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>ダイエット紅茶,20360
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>ダイエット緑茶,9025
ダイエット・健康>ダイエット>ダイエットドリンク>ファスティングドリンク（短期断食）,75143
ダイエット・健康>ダイエット>ダイエットドリンク>酵素配合飲料,56117
ダイエット・健康>ダイエット>ダイエットフード>その他,34143
ダイエット・健康>ダイエット>ダイエットフード>もどきご飯・こんにゃくご飯,29849
ダイエット・健康>ダイエット>ダイエットフード>スープ,6540
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット,6015
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>あずき玄米粥,27
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>その他,3242
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>リゾット,1925
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>玄米リゾット,27
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>玄米粥,201
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>玄米雑炊,593
ダイエット・健康>ダイエット>ダイエットフード>粥・リゾット>鶏粥,1
ダイエット・健康>ダイエット>ダイエットフード>食事セット,11381
ダイエット・健康>ダイエット>ダイエットフード>食事セット>その他,10901
ダイエット・健康>ダイエット>ダイエットフード>食事セット>和風セット,117
ダイエット・健康>ダイエット>ダイエットフード>食事セット>洋風セット,363
ダイエット・健康>ダイエット>ダイエットフード>麺類,20019
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>その他,1068
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>ふくらはぎシェイパー,5574
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー,23554
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー>その他,3071
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー>キャミソール,541
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー>ショーツ,2758
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー>ストッキング,1651
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー>スパッツ・レギンス,14766
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー>パンツ,505
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>インナー>ブラジャー,262
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>ウエストシェイパー・腹巻,15199
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>ソックス,9350
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>フェイスマスク,3753
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>二の腕シェイパー,3383
ダイエット・健康>ダイエット>ダイエット・シェイプアップウェア>太ももシェイパー,709
ダイエット・健康>ダイエット>ダイエット器具>EMS,122839
ダイエット・健康>ダイエット>ダイエット器具>その他,18777
ダイエット・健康>ダイエット>ダイエット器具>シェイプアップグッズ,67559
ダイエット・健康>ダイエット>ダイエット器具>ダイエットクッション,10353
ダイエット・健康>ダイエット>ダイエット器具>ダイエットサンダル,1759
ダイエット・健康>ダイエット>ダイエット器具>ダイエットシューズ,40086
ダイエット・健康>ダイエット>ダイエット器具>ダイエットスリッパ,3675
ダイエット・健康>ダイエット>ダイエット器具>表情筋トレーニング器具,16854
ダイエット・健康>ダイエット・健康>サプリメント>その他,1275145
ダイエット・健康>ダイエット・健康>サプリメント>アミノ酸,478840
ダイエット・健康>ダイエット・健康>サプリメント>オリゴ糖,30183
ダイエット・健康>ダイエット・健康>サプリメント>クエン酸,37115
ダイエット・健康>ダイエット・健康>サプリメント>グルコサミン・コンドロイチン,67130
ダイエット・健康>ダイエット・健康>サプリメント>コラーゲン,177955
ダイエット・健康>ダイエット・健康>サプリメント>ヒアルロン酸,19245
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン,506265
ダイエット・健康>ダイエット・健康>サプリメント>ビタミン・ミネラル混合,78710
ダイエット・健康>ダイエット・健康>サプリメント>ファイトケミカル,485729
ダイエット・健康>ダイエット・健康>サプリメント>プラセンタ,122150
ダイエット・健康>ダイエット・健康>サプリメント>プロテイン,1697445
ダイエット・健康>ダイエット・健康>サプリメント>プロバイオティクス,225638
ダイエット・健康>ダイエット・健康>サプリメント>プロポリス,20081
ダイエット・健康>ダイエット・健康>サプリメント>ミドリムシ,15981
ダイエット・健康>ダイエット・健康>サプリメント>ミネラル,225538
ダイエット・健康>ダイエット・健康>サプリメント>ラクトフェリン,25604
ダイエット・健康>ダイエット・健康>サプリメント>ローヤルゼリー,19513
ダイエット・健康>ダイエット・健康>サプリメント>動植物性混合エキス,12930
ダイエット・健康>ダイエット・健康>サプリメント>動物性エキス,58231
ダイエット・健康>ダイエット・健康>サプリメント>核酸,4831
ダイエット・健康>ダイエット・健康>サプリメント>植物性エキス,599939
ダイエット・健康>ダイエット・健康>サプリメント>脂肪酸・オイル,197443
ダイエット・健康>ダイエット・健康>サプリメント>酵素,214675
ダイエット・健康>ダイエット・健康>サプリメント>食物繊維,102873
ダイエット・健康>ダイエット・健康>ダイエット>その他,17196
ダイエット・健康>ダイエット・健康>ダイエット>ダイエットスイーツ,46582
ダイエット・健康>ダイエット・健康>ダイエット>ダイエットドリンク,325862
ダイエット・健康>ダイエット・健康>ダイエット>ダイエットフード,107947
