ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,100755
ダイエット・健康>サプリメント>アミノ酸>その他,314337
ダイエット・健康>サプリメント>アミノ酸>オルニチン,19874
ダイエット・健康>サプリメント>アミノ酸>カルニチン,38139
ダイエット・健康>サプリメント>アミノ酸>ギャバ,52073
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,106640
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,62362
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,9741
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,11160
ダイエット・健康>サプリメント>ビタミン>その他,22863
ダイエット・健康>サプリメント>ビタミン>ビタミンA,7220
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4070
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,3816
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,13496
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,21242
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,6885
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,7444
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,20013
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,132
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,152560
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,26703
ダイエット・健康>サプリメント>ビタミン>ビタミンC,225650
ダイエット・健康>サプリメント>ビタミン>ビタミンD,36563
ダイエット・健康>サプリメント>ビタミン>ビタミンE,21224
ダイエット・健康>サプリメント>ビタミン>ビタミンK,1816
ダイエット・健康>サプリメント>ビタミン>ビタミンP,436
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,137423
ダイエット・健康>サプリメント>ファイトケミカル>その他,3514
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,44768
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,6410
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,18005
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,6443
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,5098
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,6464
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,3190
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,138434
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,368870
ダイエット・健康>サプリメント>プロテイン>その他,476626
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,8553
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,255137
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,9449
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,1209595
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,327386
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,12304
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,7365
ダイエット・健康>サプリメント>プロバイオティクス>その他,90203
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2267
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2545
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,115590
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,12173
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,20812
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,3246
ダイエット・健康>サプリメント>ミネラル>その他,20994
ダイエット・健康>サプリメント>ミネラル>カリウム,12813
ダイエット・健康>サプリメント>ミネラル>カルシウム,66170
ダイエット・健康>サプリメント>ミネラル>クロム,368
ダイエット・健康>サプリメント>ミネラル>ケイ素,21403
ダイエット・健康>サプリメント>ミネラル>マグネシウム,24430
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,16692
ダイエット・健康>サプリメント>ミネラル>マンガン,6
ダイエット・健康>サプリメント>ミネラル>ヨウ素,2320
ダイエット・健康>サプリメント>ミネラル>亜鉛,68301
ダイエット・健康>サプリメント>ミネラル>鉄,74489
ダイエット・健康>サプリメント>ミネラル>銅,980
ダイエット・健康>サプリメント>動物性エキス>その他,21354
ダイエット・健康>サプリメント>動物性エキス>サメ,9177
ダイエット・健康>サプリメント>動物性エキス>シジミ,16199
ダイエット・健康>サプリメント>動物性エキス>スッポン,20513
ダイエット・健康>サプリメント>動物性エキス>卵黄,598
ダイエット・健康>サプリメント>植物性エキス>じゃばら,614
ダイエット・健康>サプリメント>植物性エキス>その他,237100
