ジャンル名,売上金額（千円）
食品>食品>チーズ・乳製品>チーズ>その他,18116
食品>食品>チーズ・乳製品>チーズ>ウォッシュ,1971
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>その他,496
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,368
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,16
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,1091
食品>食品>チーズ・乳製品>チーズ>シェーブル,269
食品>食品>チーズ・乳製品>チーズ>スモークチーズ,1775
食品>食品>チーズ・乳製品>チーズ>セット・詰め合わせ,8138
食品>食品>チーズ・乳製品>チーズ>セミハード,17162
食品>食品>チーズ・乳製品>チーズ>セミハード>その他,4297
食品>食品>チーズ・乳製品>チーズ>セミハード>エダム,321
食品>食品>チーズ・乳製品>チーズ>セミハード>エメンタール,455
食品>食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,7804
食品>食品>チーズ・乳製品>チーズ>セミハード>チェダー,2014
食品>食品>チーズ・乳製品>チーズ>セミハード>ミモレット,180
食品>食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2092
食品>食品>チーズ・乳製品>チーズ>チーズフォンデュ,467
食品>食品>チーズ・乳製品>チーズ>ハード,9296
食品>食品>チーズ・乳製品>チーズ>ハード>その他,1987
食品>食品>チーズ・乳製品>チーズ>ハード>エメンタール,141
食品>食品>チーズ・乳製品>チーズ>ハード>コンテ,350
食品>食品>チーズ・乳製品>チーズ>ハード>チェダー,165
食品>食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,5975
食品>食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,677
食品>食品>チーズ・乳製品>チーズ>フレッシュ,12522
食品>食品>チーズ・乳製品>チーズ>フレッシュ>その他,1102
食品>食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,219
食品>食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4598
食品>食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,68
食品>食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,21
食品>食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,758
食品>食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,5525
食品>食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,232
食品>食品>チーズ・乳製品>チーズ>プロセス,5033
食品>食品>チーズ・乳製品>チーズ>白カビ,3324
食品>食品>チーズ・乳製品>チーズ>白カビ>その他,307
食品>食品>チーズ・乳製品>チーズ>白カビ>カマンベール,1467
食品>食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,16
食品>食品>チーズ・乳製品>チーズ>白カビ>ブリー,1534
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー,2365
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,670
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1372
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,115
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,84
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,124
食品>食品>チーズ・乳製品>バター>有塩バター,16549
食品>食品>チーズ・乳製品>バター>無塩バター,25660
食品>食品>チーズ・乳製品>ヨーグルト>その他,5737
食品>食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,1657
食品>食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,3654
食品>食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,8388
食品>食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,7321
食品>食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,36273
食品>食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1088
食品>食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,2769
食品>食品>パン・ジャム・シリアル>クルトン,242
食品>食品>パン・ジャム・シリアル>シリアル,92507
食品>食品>パン・ジャム・シリアル>シリアル>その他,14632
食品>食品>パン・ジャム・シリアル>シリアル>オートミール,30445
食品>食品>パン・ジャム・シリアル>シリアル>グラノーラ,34115
食品>食品>パン・ジャム・シリアル>シリアル>コーンフレーク,1859
食品>食品>パン・ジャム・シリアル>シリアル>ブラン,5604
食品>食品>パン・ジャム・シリアル>シリアル>ミューズリー,4454
食品>食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1398
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ,468394
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,5349
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,396423
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,194520
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,322
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,196052
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,5528
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,1414
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,32401
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,2698
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,6462
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,5349
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,5137
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,13160
食品>食品>パン・ジャム・シリアル>セット・詰め合わせ,17104
食品>食品>パン・ジャム・シリアル>パン,216529
食品>食品>パン・ジャム・シリアル>パン>その他,15810
食品>食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,126
食品>食品>パン・ジャム・シリアル>パン>クロワッサン,16567
食品>食品>パン・ジャム・シリアル>パン>グリッシーニ,118
食品>食品>パン・ジャム・シリアル>パン>スコーン,9230
食品>食品>パン・ジャム・シリアル>パン>セット・詰め合わせ,52541
食品>食品>パン・ジャム・シリアル>パン>デニッシュ,10931
食品>食品>パン・ジャム・シリアル>パン>ドイツパン,3306
食品>食品>パン・ジャム・シリアル>パン>ナン,332
食品>食品>パン・ジャム・シリアル>パン>フォカッチャ,195
食品>食品>パン・ジャム・シリアル>パン>フランスパン,11776
食品>食品>パン・ジャム・シリアル>パン>プレッツェル,1039
食品>食品>パン・ジャム・シリアル>パン>ベーグル,38203
食品>食品>パン・ジャム・シリアル>パン>ロールパン,6465
食品>食品>パン・ジャム・シリアル>パン>惣菜パン,17035
食品>食品>パン・ジャム・シリアル>パン>菓子パン,15242
食品>食品>パン・ジャム・シリアル>パン>菓子パン>あんパン,1478
食品>食品>パン・ジャム・シリアル>パン>菓子パン>その他,7996
食品>食品>パン・ジャム・シリアル>パン>菓子パン>クリームパン,2102
食品>食品>パン・ジャム・シリアル>パン>菓子パン>ジャムパン,150
食品>食品>パン・ジャム・シリアル>パン>菓子パン>チョコレートパン,2895
食品>食品>パン・ジャム・シリアル>パン>菓子パン>メロンパン,622
食品>食品>パン・ジャム・シリアル>パン>食パン,17613
食品>食品>フルーツ・果物>あんず,471
食品>食品>フルーツ・果物>いちご,76477
食品>食品>フルーツ・果物>かぼす,158
食品>食品>フルーツ・果物>さくらんぼ,8149
食品>食品>フルーツ・果物>じゃばら,3176
食品>食品>フルーツ・果物>すだち,1840
食品>食品>フルーツ・果物>その他,30480
食品>食品>フルーツ・果物>びわ,570
食品>食品>フルーツ・果物>みかん,564634
食品>食品>フルーツ・果物>ゆず,1746
食品>食品>フルーツ・果物>りんご,186163
食品>食品>フルーツ・果物>アボカド,1553
食品>食品>フルーツ・果物>イチジク,395
食品>食品>フルーツ・果物>オレンジ,14951
食品>食品>フルーツ・果物>キウイフルーツ,6202
食品>食品>フルーツ・果物>グレープフルーツ,8188
食品>食品>フルーツ・果物>ザクロ,4715
食品>食品>フルーツ・果物>スイカ,3294
食品>食品>フルーツ・果物>セット・詰め合わせ,49215
食品>食品>フルーツ・果物>ドラゴンフルーツ,429
食品>食品>フルーツ・果物>ドリアン,439
食品>食品>フルーツ・果物>バナナ,3314
食品>食品>フルーツ・果物>パイナップル,2467
食品>食品>フルーツ・果物>パッションフルーツ,385
食品>食品>フルーツ・果物>パパイヤ,838
食品>食品>フルーツ・果物>ブドウ,9536
食品>食品>フルーツ・果物>ブルーベリー,24105
食品>食品>フルーツ・果物>プラム,147
食品>食品>フルーツ・果物>マンゴスチン,16
食品>食品>フルーツ・果物>マンゴー,4958
食品>食品>フルーツ・果物>ミラクルフルーツ,36
食品>食品>フルーツ・果物>メロン,9284
食品>食品>フルーツ・果物>ライチ,1033
食品>食品>フルーツ・果物>レモン,14960
食品>食品>フルーツ・果物>和梨,1380
食品>食品>フルーツ・果物>柿,38717
食品>食品>フルーツ・果物>栗,5874
食品>食品>フルーツ・果物>桃,997
食品>食品>フルーツ・果物>梅,3120
食品>食品>フルーツ・果物>洋梨,899
食品>食品>乾物>かんぴょう,666
食品>食品>乾物>きな粉,7601
食品>食品>乾物>ごま,10828
食品>食品>乾物>さば節,480
食品>食品>乾物>その他,32771
食品>食品>乾物>だし昆布,17367
食品>食品>乾物>とろろ昆布,11592
食品>食品>乾物>フカヒレ,2004
食品>食品>乾物>乾燥ひじき,5562
食品>食品>乾物>乾燥もずく,417
食品>食品>乾物>乾燥わかめ,19822
食品>食品>乾物>切干大根,5516
食品>食品>乾物>干ししいたけ,8980
食品>食品>乾物>春雨,5219
食品>食品>乾物>海苔,175217
食品>食品>乾物>海苔>きざみ海苔・もみ海苔,4647
食品>食品>乾物>海苔>その他,7210
食品>食品>乾物>海苔>セット・詰め合わせ,8064
食品>食品>乾物>海苔>味付け海苔,38771
食品>食品>乾物>海苔>焼き海苔,100866
食品>食品>乾物>海苔>青海苔,6038
食品>食品>乾物>海苔>韓国海苔,9623
食品>食品>乾物>煮干,8370
食品>食品>乾物>高野豆腐,1731
食品>食品>乾物>鰹節,21950
食品>食品>乾物>鰹節>その他,5862
食品>食品>乾物>鰹節>セット・詰め合わせ,3223
食品>食品>乾物>鰹節>仕上節,1761
食品>食品>乾物>鰹節>厚削り節,4508
食品>食品>乾物>鰹節>薄削り節,6596
食品>食品>乾物>麩,5772
食品>食品>卵>うずら卵,2282
食品>食品>卵>その他,1179
食品>食品>卵>セット・詰め合わせ,617
食品>食品>卵>ピータン,291
食品>食品>卵>温泉たまご,211
食品>食品>卵>烏骨鶏卵,438
食品>食品>卵>燻製卵・くんたま,837
食品>食品>卵>鶏卵,26647
食品>食品>惣菜>おせちセット,595
食品>食品>惣菜>おせちセット>その他,77
食品>食品>惣菜>おせちセット>中華おせちセット,71
食品>食品>惣菜>おせちセット>和洋中おせちセット,12
食品>食品>惣菜>おせちセット>和風おせちセット,127
食品>食品>惣菜>おせちセット>洋風おせちセット,308
食品>食品>惣菜>その他,40579
食品>食品>惣菜>アジアン・エスニック惣菜,6971
食品>食品>惣菜>アジアン・エスニック惣菜>その他,1273
食品>食品>惣菜>アジアン・エスニック惣菜>セット・詰め合わせ,1085
食品>食品>惣菜>アジアン・エスニック惣菜>タイ料理,2008
食品>食品>惣菜>アジアン・エスニック惣菜>タイ料理>その他,1237
食品>食品>惣菜>アジアン・エスニック惣菜>タイ料理>セット・詰め合わせ,559
食品>食品>惣菜>アジアン・エスニック惣菜>タイ料理>トムヤムクン,213
食品>食品>惣菜>アジアン・エスニック惣菜>ベトナム料理,834
食品>食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>その他,194
食品>食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>フォー,437
食品>食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>生春巻,203
食品>食品>惣菜>アジアン・エスニック惣菜>南米料理,1770
食品>食品>惣菜>アジアン・エスニック惣菜>南米料理>その他,1273
食品>食品>惣菜>アジアン・エスニック惣菜>南米料理>タコス,285
食品>食品>惣菜>アジアン・エスニック惣菜>南米料理>トルティーヤ,212
食品>食品>惣菜>カレー,109498
食品>食品>惣菜>中華惣菜・点心,329875
食品>食品>惣菜>中華惣菜・点心>あんまん,1750
食品>食品>惣菜>中華惣菜・点心>その他,21702
食品>食品>惣菜>中華惣菜・点心>ちまき,2270
食品>食品>惣菜>中華惣菜・点心>エビチリ,826
食品>食品>惣菜>中華惣菜・点心>シュウマイ,11041
食品>食品>惣菜>中華惣菜・点心>スープ,6431
食品>食品>惣菜>中華惣菜・点心>セット・詰め合わせ,40263
食品>食品>惣菜>中華惣菜・点心>中華ポテト,79
食品>食品>惣菜>中華惣菜・点心>北京ダック,266
食品>食品>惣菜>中華惣菜・点心>小籠包,4905
食品>食品>惣菜>中華惣菜・点心>揚げもち,125
食品>食品>惣菜>中華惣菜・点心>春巻き,2791
食品>食品>惣菜>中華惣菜・点心>肉まん,24976
食品>食品>惣菜>中華惣菜・点心>蒸し鶏,118
食品>食品>惣菜>中華惣菜・点心>角煮,3185
食品>食品>惣菜>中華惣菜・点心>酢豚,586
食品>食品>惣菜>中華惣菜・点心>餃子,205764
食品>食品>惣菜>中華惣菜・点心>餃子>その他,21062
食品>食品>惣菜>中華惣菜・点心>餃子>セット・詰め合わせ,22134
食品>食品>惣菜>中華惣菜・点心>餃子>水餃子,3458
食品>食品>惣菜>中華惣菜・点心>餃子>生餃子,159110
食品>食品>惣菜>中華惣菜・点心>饅頭,1766
食品>食品>惣菜>中華惣菜・点心>麻婆豆腐,1033
食品>食品>惣菜>和風惣菜,767924
食品>食品>惣菜>和風惣菜>おこわ,3792
食品>食品>惣菜>和風惣菜>おでん,5980
食品>食品>惣菜>和風惣菜>おにぎり,13800
食品>食品>惣菜>和風惣菜>おひたし,47
食品>食品>惣菜>和風惣菜>お吸い物,6748
食品>食品>惣菜>和風惣菜>お好み焼き,7612
食品>食品>惣菜>和風惣菜>お粥,12842
食品>食品>惣菜>和風惣菜>お茶漬け,24333
食品>食品>惣菜>和風惣菜>その他,41636
食品>食品>惣菜>和風惣菜>たこ焼き,3516
食品>食品>惣菜>和風惣菜>ひつまぶし,2439
食品>食品>惣菜>和風惣菜>みそ汁,97358
食品>食品>惣菜>和風惣菜>もんじゃ焼き,41
食品>食品>惣菜>和風惣菜>セット・詰め合わせ,91196
食品>食品>惣菜>和風惣菜>丼,181667
食品>食品>惣菜>和風惣菜>丼>その他,13619
食品>食品>惣菜>和風惣菜>丼>カツ丼,1003
食品>食品>惣菜>和風惣菜>丼>牛丼,154709
食品>食品>惣菜>和風惣菜>丼>親子丼,5804
食品>食品>惣菜>和風惣菜>丼>豚丼,6532
食品>食品>惣菜>和風惣菜>佃煮,42078
食品>食品>惣菜>和風惣菜>刺身・たたき,4866
食品>食品>惣菜>和風惣菜>卯の花,6
食品>食品>惣菜>和風惣菜>卵焼き,239
食品>食品>惣菜>和風惣菜>唐揚げ,29619
食品>食品>惣菜>和風惣菜>天かす・揚げ玉,378
食品>食品>惣菜>和風惣菜>天ぷら,3765
食品>食品>惣菜>和風惣菜>寿司,10288
食品>食品>惣菜>和風惣菜>焼き魚,3387
食品>食品>惣菜>和風惣菜>焼き鳥・つくね,6513
食品>食品>惣菜>和風惣菜>焼豚,9094
食品>食品>惣菜>和風惣菜>煮物,11344
食品>食品>惣菜>和風惣菜>白焼き,1691
食品>食品>惣菜>和風惣菜>茶碗蒸し,860
食品>食品>惣菜>和風惣菜>蒲焼き,133010
食品>食品>惣菜>和風惣菜>赤飯,1273
食品>食品>惣菜>和風惣菜>雑炊,16506
食品>食品>惣菜>弁当・駅弁,91572
食品>食品>惣菜>洋風惣菜,429551
食品>食品>惣菜>洋風惣菜>その他,34694
食品>食品>惣菜>洋風惣菜>とんかつ,10367
食品>食品>惣菜>洋風惣菜>とんかつ>その他,4406
食品>食品>惣菜>洋風惣菜>とんかつ>ヒレ,427
食品>食品>惣菜>洋風惣菜>とんかつ>ロース,5534
食品>食品>惣菜>洋風惣菜>グラタン,2675
食品>食品>惣菜>洋風惣菜>コロッケ,7507
食品>食品>惣菜>洋風惣菜>サラダ,1129
食品>食品>惣菜>洋風惣菜>シチュー,10319
食品>食品>惣菜>洋風惣菜>スープ,187718
食品>食品>惣菜>洋風惣菜>セット・詰め合わせ,55713
食品>食品>惣菜>洋風惣菜>テリーヌ,116
食品>食品>惣菜>洋風惣菜>ドリア,1174
