ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,14010
食品>チーズ・乳製品>チーズ>ウォッシュ,770
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,447
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,296
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,22
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,4
食品>チーズ・乳製品>チーズ>シェーブル,278
食品>チーズ・乳製品>チーズ>スモークチーズ,1626
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,13805
食品>チーズ・乳製品>チーズ>セミハード,21795
食品>チーズ・乳製品>チーズ>セミハード>その他,5203
食品>チーズ・乳製品>チーズ>セミハード>エダム,344
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,315
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,9045
食品>チーズ・乳製品>チーズ>セミハード>チェダー,4543
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,317
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2028
食品>チーズ・乳製品>チーズ>チーズフォンデュ,303
食品>チーズ・乳製品>チーズ>ハード,9240
食品>チーズ・乳製品>チーズ>ハード>その他,1989
食品>チーズ・乳製品>チーズ>ハード>エメンタール,109
食品>チーズ・乳製品>チーズ>ハード>コンテ,307
食品>チーズ・乳製品>チーズ>ハード>チェダー,170
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6111
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,552
食品>チーズ・乳製品>チーズ>フレッシュ,14815
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1350
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,200
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,5598
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,77
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,42
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,908
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,6423
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,217
食品>チーズ・乳製品>チーズ>プロセス,5489
食品>チーズ・乳製品>チーズ>白カビ,3478
食品>チーズ・乳製品>チーズ>白カビ>その他,124
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,1768
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,3
食品>チーズ・乳製品>チーズ>白カビ>ブリー,1583
食品>チーズ・乳製品>チーズ>青カビ・ブルー,2606
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,491
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1818
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,56
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,103
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,139
食品>チーズ・乳製品>バター>有塩バター,14851
食品>チーズ・乳製品>バター>無塩バター,24618
食品>チーズ・乳製品>ヨーグルト>その他,4874
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2172
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,4350
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,9247
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,8135
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,32079
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1172
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,3437
食品>パン・ジャム・シリアル>シリアル>その他,21261
食品>パン・ジャム・シリアル>シリアル>オートミール,31829
食品>パン・ジャム・シリアル>シリアル>グラノーラ,30501
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,1738
食品>パン・ジャム・シリアル>シリアル>ブラン,2075
食品>パン・ジャム・シリアル>シリアル>ミューズリー,3134
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1730
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,4522
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,284561
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,155368
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,760
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,125869
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,2564
食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,1716
食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,31542
食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,2271
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,10877
食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,4653
食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,1975
食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,10505
食品>パン・ジャム・シリアル>パン>その他,13331
食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,69
食品>パン・ジャム・シリアル>パン>クロワッサン,25711
食品>パン・ジャム・シリアル>パン>グリッシーニ,103
食品>パン・ジャム・シリアル>パン>スコーン,5792
食品>パン・ジャム・シリアル>パン>セット・詰め合わせ,55250
食品>パン・ジャム・シリアル>パン>デニッシュ,11818
食品>パン・ジャム・シリアル>パン>ドイツパン,3442
食品>パン・ジャム・シリアル>パン>ナン,803
食品>パン・ジャム・シリアル>パン>フォカッチャ,120
食品>パン・ジャム・シリアル>パン>フランスパン,4311
食品>パン・ジャム・シリアル>パン>プレッツェル,528
食品>パン・ジャム・シリアル>パン>ベーグル,27872
食品>パン・ジャム・シリアル>パン>ロールパン,5506
食品>パン・ジャム・シリアル>パン>惣菜パン,10674
食品>パン・ジャム・シリアル>パン>菓子パン,27476
食品>パン・ジャム・シリアル>パン>菓子パン>あんパン,1720
食品>パン・ジャム・シリアル>パン>菓子パン>その他,11054
食品>パン・ジャム・シリアル>パン>菓子パン>クリームパン,9320
食品>パン・ジャム・シリアル>パン>菓子パン>ジャムパン,189
食品>パン・ジャム・シリアル>パン>菓子パン>チョコレートパン,4419
食品>パン・ジャム・シリアル>パン>菓子パン>メロンパン,775
食品>パン・ジャム・シリアル>パン>食パン,21625
食品>乾物>海苔>きざみ海苔・もみ海苔,4110
食品>乾物>海苔>その他,6851
食品>乾物>海苔>セット・詰め合わせ,8717
食品>乾物>海苔>味付け海苔,46854
食品>乾物>海苔>焼き海苔,104198
食品>乾物>海苔>青海苔,4446
食品>乾物>海苔>韓国海苔,10025
食品>乾物>鰹節>その他,3038
食品>乾物>鰹節>セット・詰め合わせ,3052
食品>乾物>鰹節>仕上節,2019
食品>乾物>鰹節>厚削り節,3463
食品>乾物>鰹節>薄削り節,6398
食品>惣菜>おせちセット>その他,36
食品>惣菜>おせちセット>和洋おせちセット,19
食品>惣菜>おせちセット>和風おせちセット,413
食品>惣菜>おせちセット>洋風おせちセット,291
食品>惣菜>アジアン・エスニック惣菜>その他,1442
食品>惣菜>アジアン・エスニック惣菜>セット・詰め合わせ,941
食品>惣菜>アジアン・エスニック惣菜>タイ料理,2936
食品>惣菜>アジアン・エスニック惣菜>タイ料理>その他,1972
食品>惣菜>アジアン・エスニック惣菜>タイ料理>セット・詰め合わせ,756
食品>惣菜>アジアン・エスニック惣菜>タイ料理>トムヤムクン,208
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理,812
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>その他,134
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>フォー,436
食品>惣菜>アジアン・エスニック惣菜>ベトナム料理>生春巻,243
食品>惣菜>アジアン・エスニック惣菜>南米料理,1975
食品>惣菜>アジアン・エスニック惣菜>南米料理>その他,1473
食品>惣菜>アジアン・エスニック惣菜>南米料理>タコス,305
食品>惣菜>アジアン・エスニック惣菜>南米料理>トルティーヤ,197
食品>惣菜>中華惣菜・点心>あんまん,595
食品>惣菜>中華惣菜・点心>その他,24294
食品>惣菜>中華惣菜・点心>ちまき,3362
食品>惣菜>中華惣菜・点心>エビチリ,716
食品>惣菜>中華惣菜・点心>シュウマイ,5514
食品>惣菜>中華惣菜・点心>スープ,4470
食品>惣菜>中華惣菜・点心>セット・詰め合わせ,56424
食品>惣菜>中華惣菜・点心>中華ポテト,69
食品>惣菜>中華惣菜・点心>北京ダック,194
食品>惣菜>中華惣菜・点心>小籠包,5329
食品>惣菜>中華惣菜・点心>揚げもち,83
食品>惣菜>中華惣菜・点心>春巻き,2090
食品>惣菜>中華惣菜・点心>肉まん,11999
食品>惣菜>中華惣菜・点心>蒸し鶏,75
食品>惣菜>中華惣菜・点心>角煮,2511
食品>惣菜>中華惣菜・点心>酢豚,489
食品>惣菜>中華惣菜・点心>餃子,152033
食品>惣菜>中華惣菜・点心>餃子>その他,16734
食品>惣菜>中華惣菜・点心>餃子>セット・詰め合わせ,30413
食品>惣菜>中華惣菜・点心>餃子>水餃子,2465
食品>惣菜>中華惣菜・点心>餃子>生餃子,102422
食品>惣菜>中華惣菜・点心>饅頭,1071
食品>惣菜>中華惣菜・点心>麻婆豆腐,919
食品>惣菜>和風惣菜>おこわ,18799
食品>惣菜>和風惣菜>おでん,2303
食品>惣菜>和風惣菜>おにぎり,10731
食品>惣菜>和風惣菜>おひたし,33
食品>惣菜>和風惣菜>お吸い物,8228
食品>惣菜>和風惣菜>お好み焼き,7654
食品>惣菜>和風惣菜>お粥,10174
食品>惣菜>和風惣菜>お茶漬け,105751
食品>惣菜>和風惣菜>その他,51211
食品>惣菜>和風惣菜>たこ焼き,4561
食品>惣菜>和風惣菜>ひつまぶし,5751
食品>惣菜>和風惣菜>みそ汁,88839
