ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,60229
ダイエット・健康>サプリメント>アミノ酸>その他,344491
ダイエット・健康>サプリメント>アミノ酸>オルニチン,14799
ダイエット・健康>サプリメント>アミノ酸>カルニチン,43145
ダイエット・健康>サプリメント>アミノ酸>ギャバ,41810
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,79434
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,62314
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,8365
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,12015
ダイエット・健康>サプリメント>ビタミン>その他,29751
ダイエット・健康>サプリメント>ビタミン>ビタミンA,8151
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,4972
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,3529
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,10661
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,19142
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,3971
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,9194
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,21241
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,253
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,127325
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,39099
ダイエット・健康>サプリメント>ビタミン>ビタミンC,208379
ダイエット・健康>サプリメント>ビタミン>ビタミンD,45216
ダイエット・健康>サプリメント>ビタミン>ビタミンE,19698
ダイエット・健康>サプリメント>ビタミン>ビタミンK,2109
ダイエット・健康>サプリメント>ビタミン>ビタミンP,1608
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,133368
ダイエット・健康>サプリメント>ファイトケミカル>その他,1491
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,27103
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,4949
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,19001
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,6509
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,5962
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,6531
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,4108
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,154969
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,379997
ダイエット・健康>サプリメント>プロテイン>その他,335122
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,6119
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,225593
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,12693
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,974351
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,362766
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,18186
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,10818
ダイエット・健康>サプリメント>プロバイオティクス>その他,97494
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,3787
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,4037
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,117592
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,13817
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,24946
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,4133
ダイエット・健康>サプリメント>ミネラル>その他,28598
ダイエット・健康>サプリメント>ミネラル>カリウム,13835
ダイエット・健康>サプリメント>ミネラル>カルシウム,75939
ダイエット・健康>サプリメント>ミネラル>クロム,373
ダイエット・健康>サプリメント>ミネラル>ケイ素,15506
ダイエット・健康>サプリメント>ミネラル>マグネシウム,27329
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,18074
ダイエット・健康>サプリメント>ミネラル>マンガン,561
ダイエット・健康>サプリメント>ミネラル>ヨウ素,344
ダイエット・健康>サプリメント>ミネラル>亜鉛,70507
ダイエット・健康>サプリメント>ミネラル>鉄,82370
ダイエット・健康>サプリメント>ミネラル>銅,391
ダイエット・健康>サプリメント>動物性エキス>その他,21718
ダイエット・健康>サプリメント>動物性エキス>サメ,9001
ダイエット・健康>サプリメント>動物性エキス>シジミ,17722
ダイエット・健康>サプリメント>動物性エキス>スッポン,21974
ダイエット・健康>サプリメント>動物性エキス>卵黄,828
ダイエット・健康>サプリメント>植物性エキス>じゃばら,8063
ダイエット・健康>サプリメント>植物性エキス>その他,220365
ダイエット・健康>サプリメント>植物性エキス>アサイー,6630
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,21644
ダイエット・健康>サプリメント>植物性エキス>ウコン,54790
ダイエット・健康>サプリメント>植物性エキス>エキナセア,1929
ダイエット・健康>サプリメント>植物性エキス>カカオ,239
ダイエット・健康>サプリメント>植物性エキス>カプサイシン,2427
ダイエット・健康>サプリメント>植物性エキス>カムカム,259
ダイエット・健康>サプリメント>植物性エキス>ガラナ,1215
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム,48208
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>その他,38171
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>アガリクス茸,9297
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>シイタケ,740
ダイエット・健康>サプリメント>植物性エキス>クロレラ,19013
ダイエット・健康>サプリメント>植物性エキス>ゴジベリー,3042
ダイエット・健康>サプリメント>植物性エキス>サラシア,51054
ダイエット・健康>サプリメント>植物性エキス>スピルリナ,31032
ダイエット・健康>サプリメント>植物性エキス>セントジョーンズワート,2876
ダイエット・健康>サプリメント>植物性エキス>チアシード,7323
ダイエット・健康>サプリメント>植物性エキス>トンカットアリ,12276
ダイエット・健康>サプリメント>植物性エキス>ニンニク,7784
ダイエット・健康>サプリメント>植物性エキス>ノコギリヤシ,24978
ダイエット・健康>サプリメント>植物性エキス>バジルシード,56
ダイエット・健康>サプリメント>植物性エキス>ビーポーレン,1873
ダイエット・健康>サプリメント>植物性エキス>フォルスコリ,10637
ダイエット・健康>サプリメント>植物性エキス>フコイダン,24675
ダイエット・健康>サプリメント>植物性エキス>ブルーベリー,34711
ダイエット・健康>サプリメント>植物性エキス>プエラリア,4757
ダイエット・健康>サプリメント>植物性エキス>マカ,56466
ダイエット・健康>サプリメント>植物性エキス>マキベリー,2943
ダイエット・健康>サプリメント>植物性エキス>メシマコブ茸,869
ダイエット・健康>サプリメント>植物性エキス>梅肉,13370
ダイエット・健康>サプリメント>植物性エキス>田七人参,16925
ダイエット・健康>サプリメント>植物性エキス>高麗人参,25837
ダイエット・健康>サプリメント>植物性エキス>黒豆,1723
ダイエット・健康>サプリメント>脂肪酸・オイル>CLA,627
ダイエット・健康>サプリメント>脂肪酸・オイル>DHA,137038
ダイエット・健康>サプリメント>脂肪酸・オイル>EPA,9511
ダイエット・健康>サプリメント>脂肪酸・オイル>HMB,20731
ダイエット・健康>サプリメント>脂肪酸・オイル>その他,7180
ダイエット・健康>サプリメント>脂肪酸・オイル>クリルオイル,6920
ダイエット・健康>サプリメント>脂肪酸・オイル>フィッシュオイル,14550
ダイエット・健康>サプリメント>脂肪酸・オイル>マルチ脂肪酸,7619
ダイエット・健康>サプリメント>酵素>SOD,12653
ダイエット・健康>サプリメント>酵素>その他,82922
ダイエット・健康>サプリメント>酵素>アルファリポ酸,6971
ダイエット・健康>サプリメント>酵素>コエンザイムQ10,33375
ダイエット・健康>サプリメント>酵素>マルチ酵素,32061
ダイエット・健康>ダイエット>ダイエットスイーツ>その他,2077
ダイエット・健康>ダイエット>ダイエットスイーツ>ウエハース,173
ダイエット・健康>ダイエット>ダイエットスイーツ>ガム,7
ダイエット・健康>ダイエット>ダイエットスイーツ>キャンディ,1219
ダイエット・健康>ダイエット>ダイエットスイーツ>クッキー・ビスケット,13587
ダイエット・健康>ダイエット>ダイエットスイーツ>クラッカー,121
ダイエット・健康>ダイエット>ダイエットスイーツ>グミ,443
ダイエット・健康>ダイエット>ダイエットスイーツ>ケーキ,688
ダイエット・健康>ダイエット>ダイエットスイーツ>ゼリー,9359
ダイエット・健康>ダイエット>ダイエットスイーツ>チップス・せんべい,2508
ダイエット・健康>ダイエット>ダイエットスイーツ>チョコレートバー,2112
ダイエット・健康>ダイエット>ダイエットスイーツ>フレーク,45
ダイエット・健康>ダイエット>ダイエットスイーツ>プリン,651
ダイエット・健康>ダイエット>ダイエットスイーツ>ラスク,2
ダイエット・健康>ダイエット>ダイエットスイーツ>和菓子,233
ダイエット・健康>ダイエット>ダイエットドリンク>その他,9597
ダイエット・健康>ダイエット>ダイエットドリンク>グリーンスムージー,22520
ダイエット・健康>ダイエット>ダイエットドリンク>ゼリー飲料,9138
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットココア,1205
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットコーヒー,26285
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットシェイク,37519
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー,49378
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>その他,22768
ダイエット・健康>ダイエット>ダイエットドリンク>ダイエットティー>ダイエットフルーツ茶,2437
