ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,15671
食品>チーズ・乳製品>チーズ>ウォッシュ,2074
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,524
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,439
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,6
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,1106
食品>チーズ・乳製品>チーズ>シェーブル,372
食品>チーズ・乳製品>チーズ>スモークチーズ,1082
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,10994
食品>チーズ・乳製品>チーズ>セミハード,27020
食品>チーズ・乳製品>チーズ>セミハード>その他,6856
食品>チーズ・乳製品>チーズ>セミハード>エダム,450
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,463
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,14117
食品>チーズ・乳製品>チーズ>セミハード>チェダー,1970
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,362
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2803
食品>チーズ・乳製品>チーズ>チーズフォンデュ,767
食品>チーズ・乳製品>チーズ>ハード,11730
食品>チーズ・乳製品>チーズ>ハード>その他,2115
食品>チーズ・乳製品>チーズ>ハード>エメンタール,111
食品>チーズ・乳製品>チーズ>ハード>コンテ,394
食品>チーズ・乳製品>チーズ>ハード>チェダー,223
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,8297
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,590
食品>チーズ・乳製品>チーズ>フレッシュ,15225
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1400
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,219
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4512
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,163
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,37
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,798
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,7522
