ジャンル名,売上金額（千円）
食品>食品>チーズ・乳製品>チーズ>その他,15974
食品>食品>チーズ・乳製品>チーズ>ウォッシュ,2115
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>その他,943
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,263
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,130
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,779
食品>食品>チーズ・乳製品>チーズ>シェーブル,329
食品>食品>チーズ・乳製品>チーズ>スモークチーズ,1647
食品>食品>チーズ・乳製品>チーズ>セット・詰め合わせ,7778
食品>食品>チーズ・乳製品>チーズ>セミハード,29794
食品>食品>チーズ・乳製品>チーズ>セミハード>その他,6911
食品>食品>チーズ・乳製品>チーズ>セミハード>エダム,419
食品>食品>チーズ・乳製品>チーズ>セミハード>エメンタール,415
食品>食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,16797
食品>食品>チーズ・乳製品>チーズ>セミハード>チェダー,2679
食品>食品>チーズ・乳製品>チーズ>セミハード>ミモレット,316
食品>食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2258
食品>食品>チーズ・乳製品>チーズ>チーズフォンデュ,425
食品>食品>チーズ・乳製品>チーズ>ハード,10734
食品>食品>チーズ・乳製品>チーズ>ハード>その他,2407
食品>食品>チーズ・乳製品>チーズ>ハード>エメンタール,56
食品>食品>チーズ・乳製品>チーズ>ハード>コンテ,286
食品>食品>チーズ・乳製品>チーズ>ハード>チェダー,119
食品>食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6985
食品>食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,880
食品>食品>チーズ・乳製品>チーズ>フレッシュ,18638
食品>食品>チーズ・乳製品>チーズ>フレッシュ>その他,1256
食品>食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,147
食品>食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,5925
食品>食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,77
食品>食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,15
食品>食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,795
食品>食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,10247
食品>食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,176
食品>食品>チーズ・乳製品>チーズ>プロセス,5699
食品>食品>チーズ・乳製品>チーズ>白カビ,4466
食品>食品>チーズ・乳製品>チーズ>白カビ>その他,330
食品>食品>チーズ・乳製品>チーズ>白カビ>カマンベール,2201
食品>食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,36
食品>食品>チーズ・乳製品>チーズ>白カビ>ブリー,1899
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー,2986
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,458
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,2081
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,77
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,123
食品>食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,246
食品>食品>チーズ・乳製品>バター>有塩バター,17520
食品>食品>チーズ・乳製品>バター>無塩バター,28676
食品>食品>チーズ・乳製品>ヨーグルト>その他,9455
食品>食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2421
食品>食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,5886
食品>食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,10435
食品>食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,7417
食品>食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,31323
食品>食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1199
食品>食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,3499
食品>食品>パン・ジャム・シリアル>クルトン,313
食品>食品>パン・ジャム・シリアル>シリアル,134710
食品>食品>パン・ジャム・シリアル>シリアル>その他,27942
食品>食品>パン・ジャム・シリアル>シリアル>オートミール,44212
食品>食品>パン・ジャム・シリアル>シリアル>グラノーラ,50731
食品>食品>パン・ジャム・シリアル>シリアル>コーンフレーク,2532
食品>食品>パン・ジャム・シリアル>シリアル>ブラン,2723
食品>食品>パン・ジャム・シリアル>シリアル>ミューズリー,4642
食品>食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1926
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ,462396
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,7780
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,374881
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,205236
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>ナッツのはちみつ漬け,303
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,166669
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,2673
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,1845
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ジャム・コンフィチュール,35430
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>チョコレートクリーム,2066
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ピューレ,16924
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ピーナッツクリーム・ピーナッツバター,6778
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,2075
食品>食品>パン・ジャム・シリアル>ジャム・はちみつ>メープルシロップ,14618
食品>食品>パン・ジャム・シリアル>セット・詰め合わせ,15791
食品>食品>パン・ジャム・シリアル>パン,281579
食品>食品>パン・ジャム・シリアル>パン>その他,18886
食品>食品>パン・ジャム・シリアル>パン>イングリッシュマフィン,89
食品>食品>パン・ジャム・シリアル>パン>クロワッサン,21279
食品>食品>パン・ジャム・シリアル>パン>グリッシーニ,93
食品>食品>パン・ジャム・シリアル>パン>スコーン,8451
食品>食品>パン・ジャム・シリアル>パン>セット・詰め合わせ,81988
食品>食品>パン・ジャム・シリアル>パン>デニッシュ,11227
食品>食品>パン・ジャム・シリアル>パン>ドイツパン,4377
食品>食品>パン・ジャム・シリアル>パン>ナン,1417
食品>食品>パン・ジャム・シリアル>パン>フォカッチャ,200
食品>食品>パン・ジャム・シリアル>パン>フランスパン,11561
食品>食品>パン・ジャム・シリアル>パン>プレッツェル,1104
食品>食品>パン・ジャム・シリアル>パン>ベーグル,45352
食品>食品>パン・ジャム・シリアル>パン>ロールパン,5834
食品>食品>パン・ジャム・シリアル>パン>惣菜パン,23701
食品>食品>パン・ジャム・シリアル>パン>菓子パン,21499
食品>食品>パン・ジャム・シリアル>パン>菓子パン>あんパン,1734
食品>食品>パン・ジャム・シリアル>パン>菓子パン>その他,9636
食品>食品>パン・ジャム・シリアル>パン>菓子パン>クリームパン,3930
食品>食品>パン・ジャム・シリアル>パン>菓子パン>ジャムパン,177
食品>食品>パン・ジャム・シリアル>パン>菓子パン>チョコレートパン,4890
食品>食品>パン・ジャム・シリアル>パン>菓子パン>メロンパン,1133
食品>食品>パン・ジャム・シリアル>パン>食パン,24521
食品>食品>フルーツ・果物>あんず,474
食品>食品>フルーツ・果物>いちご,7949
食品>食品>フルーツ・果物>かぼす,3813
食品>食品>フルーツ・果物>さくらんぼ,599
食品>食品>フルーツ・果物>じゃばら,866
食品>食品>フルーツ・果物>すだち,3506
食品>食品>フルーツ・果物>その他,26419
食品>食品>フルーツ・果物>びわ,508
食品>食品>フルーツ・果物>みかん,222014
食品>食品>フルーツ・果物>ゆず,2329
食品>食品>フルーツ・果物>りんご,135946
食品>食品>フルーツ・果物>アボカド,1376
食品>食品>フルーツ・果物>イチジク,11220
食品>食品>フルーツ・果物>オレンジ,1775
食品>食品>フルーツ・果物>キウイフルーツ,4339
食品>食品>フルーツ・果物>グレープフルーツ,2726
食品>食品>フルーツ・果物>ザクロ,5942
食品>食品>フルーツ・果物>スイカ,12023
