ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,14689
食品>チーズ・乳製品>チーズ>ウォッシュ,1043
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,617
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,277
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,22
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,127
食品>チーズ・乳製品>チーズ>シェーブル,346
食品>チーズ・乳製品>チーズ>スモークチーズ,1254
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,13430
食品>チーズ・乳製品>チーズ>セミハード,30434
食品>チーズ・乳製品>チーズ>セミハード>その他,6211
食品>チーズ・乳製品>チーズ>セミハード>エダム,415
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,497
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,17828
食品>チーズ・乳製品>チーズ>セミハード>チェダー,2720
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,384
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2379
食品>チーズ・乳製品>チーズ>チーズフォンデュ,383
食品>チーズ・乳製品>チーズ>ハード,10495
食品>チーズ・乳製品>チーズ>ハード>その他,2282
食品>チーズ・乳製品>チーズ>ハード>エメンタール,114
食品>チーズ・乳製品>チーズ>ハード>コンテ,491
食品>チーズ・乳製品>チーズ>ハード>チェダー,198
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6769
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,642
食品>チーズ・乳製品>チーズ>フレッシュ,16450
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1201
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,290
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,5703
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,111
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,30
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,1378
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,7556
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,180
食品>チーズ・乳製品>チーズ>プロセス,5623
食品>チーズ・乳製品>チーズ>白カビ,2824
食品>チーズ・乳製品>チーズ>白カビ>その他,248
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,1569
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,10
食品>チーズ・乳製品>チーズ>白カビ>ブリー,997
食品>チーズ・乳製品>チーズ>青カビ・ブルー,2472
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,692
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1524
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,35
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,84
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,137
食品>チーズ・乳製品>バター>有塩バター,14857
食品>チーズ・乳製品>バター>無塩バター,25554
食品>チーズ・乳製品>ヨーグルト>その他,5151
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,2298
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,4399
食品>チーズ・乳製品>ヨーグルト>セット・詰め合わせ,5807
食品>チーズ・乳製品>ヨーグルト>ソフトヨーグルト,7874
食品>チーズ・乳製品>ヨーグルト>ドリンクヨーグルト,30287
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,1072
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,3357
食品>パン・ジャム・シリアル>シリアル>その他,21861
食品>パン・ジャム・シリアル>シリアル>オートミール,33118
食品>パン・ジャム・シリアル>シリアル>グラノーラ,33694
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,2186
食品>パン・ジャム・シリアル>シリアル>ブラン,2416
食品>パン・ジャム・シリアル>シリアル>ミューズリー,3574
食品>パン・ジャム・シリアル>シリアル>玄米フレーク,1970
食品>パン・ジャム・シリアル>ジャム・はちみつ>その他,5329
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー,293427
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,164723
