ジャンル名,売上金額（千円）
食品>不明>ロングパスタ>その他,6153
食品>不明>ロングパスタ>カッペリーニ,95
食品>不明>ロングパスタ>スパゲッティーニ,15196
食品>不明>ロングパスタ>スパゲティー,60630
食品>不明>ロングパスタ>フェットチーネ,1401
食品>不明>ロングパスタ>フェデレリーニ,1778
食品>不明>ロングパスタ>ブカティーニ,29
食品>不明>ロングパスタ>リングイネ,3306
食品>食品>チーズ・乳製品>チーズ>その他,19622
食品>食品>チーズ・乳製品>チーズ>ウォッシュ,1144
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>その他,520
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,438
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,11
食品>食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,175
食品>食品>チーズ・乳製品>チーズ>シェーブル,396
食品>食品>チーズ・乳製品>チーズ>スモークチーズ,2138
食品>食品>チーズ・乳製品>チーズ>セット・詰め合わせ,7968
食品>食品>チーズ・乳製品>チーズ>セミハード,19133
食品>食品>チーズ・乳製品>チーズ>セミハード>その他,6163
食品>食品>チーズ・乳製品>チーズ>セミハード>エダム,332
食品>食品>チーズ・乳製品>チーズ>セミハード>エメンタール,377
食品>食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,7713
食品>食品>チーズ・乳製品>チーズ>セミハード>チェダー,1765
食品>食品>チーズ・乳製品>チーズ>セミハード>ミモレット,463
食品>食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2319
食品>食品>チーズ・乳製品>チーズ>チーズフォンデュ,419
食品>食品>チーズ・乳製品>チーズ>ハード,10425
食品>食品>チーズ・乳製品>チーズ>ハード>その他,2455
食品>食品>チーズ・乳製品>チーズ>ハード>エメンタール,181
食品>食品>チーズ・乳製品>チーズ>ハード>コンテ,418
食品>食品>チーズ・乳製品>チーズ>ハード>チェダー,271
食品>食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,6207
食品>食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,892
食品>食品>チーズ・乳製品>チーズ>フレッシュ,16599
食品>食品>チーズ・乳製品>チーズ>フレッシュ>その他,1011
食品>食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,267
食品>食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,5141
食品>食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,42
食品>食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,36
食品>食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,793
食品>食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,8613
食品>食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,696
食品>食品>チーズ・乳製品>チーズ>プロセス,6846
食品>食品>チーズ・乳製品>チーズ>白カビ,7817
