ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,39104
ダイエット・健康>サプリメント>アミノ酸>その他,250978
ダイエット・健康>サプリメント>アミノ酸>オルニチン,12797
ダイエット・健康>サプリメント>アミノ酸>カルニチン,37826
ダイエット・健康>サプリメント>アミノ酸>ギャバ,43353
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,65980
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,52456
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,14828
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,15371
ダイエット・健康>サプリメント>ビタミン>その他,33153
ダイエット・健康>サプリメント>ビタミン>ビタミンA,8353
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3975
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,5985
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,7306
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,21182
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,2447
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,8033
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,19005
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,651
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,104166
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,48050
ダイエット・健康>サプリメント>ビタミン>ビタミンC,211083
ダイエット・健康>サプリメント>ビタミン>ビタミンD,64149
ダイエット・健康>サプリメント>ビタミン>ビタミンE,19284
ダイエット・健康>サプリメント>ビタミン>ビタミンK,2122
ダイエット・健康>サプリメント>ビタミン>ビタミンP,599
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,122929
ダイエット・健康>サプリメント>ファイトケミカル>その他,1020
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,30752
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,6691
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,22048
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,11169
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,3415
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,7464
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,5855
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,143221
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,316865
ダイエット・健康>サプリメント>プロテイン>その他,240229
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,4717
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,175018
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,8943
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,761974
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,178779
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,21738
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,11371
ダイエット・健康>サプリメント>プロバイオティクス>その他,108292
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,2534
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2785
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,107215
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,15781
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,28331
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,3171
ダイエット・健康>サプリメント>ミネラル>その他,24244
ダイエット・健康>サプリメント>ミネラル>カリウム,14972
ダイエット・健康>サプリメント>ミネラル>カルシウム,82201
ダイエット・健康>サプリメント>ミネラル>クロム,711
ダイエット・健康>サプリメント>ミネラル>ケイ素,12983
ダイエット・健康>サプリメント>ミネラル>マグネシウム,26294
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,19701
ダイエット・健康>サプリメント>ミネラル>マンガン,97
ダイエット・健康>サプリメント>ミネラル>ヨウ素,326
ダイエット・健康>サプリメント>ミネラル>亜鉛,71894
ダイエット・健康>サプリメント>ミネラル>鉄,90130
ダイエット・健康>サプリメント>ミネラル>銅,2334
ダイエット・健康>サプリメント>動物性エキス>その他,25642
ダイエット・健康>サプリメント>動物性エキス>サメ,13900
ダイエット・健康>サプリメント>動物性エキス>シジミ,13269
ダイエット・健康>サプリメント>動物性エキス>スッポン,23005
ダイエット・健康>サプリメント>動物性エキス>卵黄,952
ダイエット・健康>サプリメント>植物性エキス>じゃばら,4777
ダイエット・健康>サプリメント>植物性エキス>その他,175751
ダイエット・健康>サプリメント>植物性エキス>アサイー,7957
ダイエット・健康>サプリメント>植物性エキス>イチョウ葉,23448
ダイエット・健康>サプリメント>植物性エキス>ウコン,50723
ダイエット・健康>サプリメント>植物性エキス>エキナセア,2368
ダイエット・健康>サプリメント>植物性エキス>カカオ,320
ダイエット・健康>サプリメント>植物性エキス>カプサイシン,2592
ダイエット・健康>サプリメント>植物性エキス>カムカム,152
ダイエット・健康>サプリメント>植物性エキス>ガラナ,955
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム,41950
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>その他,34581
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>アガリクス茸,6623
ダイエット・健康>サプリメント>植物性エキス>キノコ・マッシュルーム>シイタケ,746
ダイエット・健康>サプリメント>植物性エキス>クロレラ,20224
ダイエット・健康>サプリメント>植物性エキス>ゴジベリー,1653
ダイエット・健康>サプリメント>植物性エキス>サラシア,45082
ダイエット・健康>サプリメント>植物性エキス>スピルリナ,29351
